,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.37,0.86,0.9,0.94,0.73,0.69,0.65,0.63,0.72,0.72,,0.56,0.48,0.59,0.63
e_1,0.73,1.0,1.07,0.84,0.9,0.91,0.64,0.6,0.81,0.74,0.67,0.82,0.61,0.59,,0.64
d_1,1.16,0.94,1.0,0.83,0.93,0.96,0.82,0.88,,0.58,0.67,0.68,0.61,0.57,0.61,0.45
c_1,1.11,1.2,1.2,1.0,1.61,0.84,0.61,,0.53,0.69,0.57,0.65,0.75,0.6,0.61,0.46
b_1,1.06,1.11,1.08,0.62,1.0,1.27,0.77,0.66,0.82,0.84,,0.59,0.51,0.74,0.45,0.63
a_1,1.37,1.1,1.04,1.19,0.78,1.0,1.03,0.81,0.8,0.65,0.73,0.6,,0.64,0.74,0.69
h_1,1.44,1.56,1.23,1.63,1.3,0.97,1.0,1.11,0.98,1.1,0.86,0.98,0.76,,0.7,0.78
c_0,1.54,1.65,1.14,,1.51,1.23,0.9,1.0,0.84,1.11,1.3,0.87,0.83,0.91,0.92,0.81
d_0,1.58,1.23,,1.89,1.21,1.25,1.02,1.19,1.0,0.96,1.03,1.1,0.8,0.65,1.22,0.74
g_1,1.38,1.34,1.72,1.45,1.19,1.54,0.91,0.9,1.04,1.0,0.87,1.12,0.89,1.07,,
b_0,1.39,1.5,1.5,1.77,,1.38,1.16,0.77,0.97,1.15,1.0,0.94,1.46,0.78,0.82,0.86
f_0,,1.22,1.46,1.53,1.69,1.66,1.02,1.15,0.91,0.89,1.06,1.0,1.29,0.94,1.3,0.76
a_0,1.8,1.65,1.64,1.34,1.97,,1.31,1.21,1.26,1.13,0.68,0.77,1.0,1.2,1.17,
h_0,2.09,1.69,1.75,1.67,1.35,1.55,,1.1,1.53,0.94,1.28,1.06,0.83,,0.76,1.06
e_0,1.69,,1.65,1.64,2.2,1.36,1.43,1.09,0.82,,1.22,0.77,0.85,1.31,1.0,
g_0,1.59,1.56,2.24,2.19,1.59,1.46,1.28,1.23,1.35,,1.16,1.31,,0.95,,
