,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,7763.62,966.8,1859.52,1847.05,3625.72,12075.1,1599562.84,6778386.83,6322990.48,17480042.87,9990109.42,22766078.67,64851138.76,49277914.84,14069269.9,120413896.96
f_1,1658.57,7961.89,1627.83,1870.22,3144.37,12917.11,1564617.29,3115201.4,6428722.13,10621111.96,10039055.29,4635993.39,51427193.35,51946767.72,48519736.41,117444919.78
c_1,892.01,800.49,16334.44,2331.68,6659.35,14560.08,1927468.42,3249549.56,1151387.22,7887528.19,9044277.32,19093488.66,51230894.28,33649798.33,73495904.55,145265127.55
d_1,828.97,890.34,858.77,24112.62,3251.83,16106.93,1897644.79,1130559.32,12832238.29,20375301.6,13856572.08,26139406.75,63088406.68,43284081.83,62905490.59,155322994.85
b_1,660.86,965.11,1783.54,2268.4,42180.74,28335.19,1733839.99,4385912.03,6476833.16,3669914.36,7764673.72,22816278.43,49464042.73,37654124.34,52537834.08,124338356.24
a_1,622.28,968.32,1671.38,2121.72,2920.42,264260.25,1948406.94,4526505.63,9502134.51,15542717.43,11592885.2,23995035.94,81498951.47,11264891.52,70019605.97,104122052.22
h_1,1344.34,2258.35,2996.63,3948.72,4273.11,24921.67,12233986.95,4597449.24,10936997.09,22237064.01,27104255.6,40833444.68,22093794.33,50345999.58,110040255.55,243186648.24
d_0,1704.21,1451.03,5864.53,1161.33,4517.16,17605.72,3050689.05,17406136.01,10797430.83,28168885.34,21125838.12,33721214.06,99358153.89,78557048.65,95175164.55,273298169.16
c_0,1517.92,2034.08,1138.45,4734.29,5500.49,22006.62,3475179.81,6386587.99,36296011.94,42130455.64,21379163.31,46359269.74,109075907.77,82193928.74,98537567.4,208425498.31
b_0,2093.72,1684.5,2845.27,3153.82,1795.66,18974.45,3471900.47,7747683.14,16042118.42,85750798.46,21041962.48,35114028.04,97774454.87,161795065.51,77880603.4,269561670.76
g_1,1195.32,1621.17,2742.21,5484.6,4608.42,21685.09,3715117.21,5545239.3,13804310.3,27839892.68,125340867.4,57384415.73,88112155.95,93388205.2,96423604.21,109536170.97
f_0,1216.0,870.28,3133.12,4829.77,4849.38,29763.85,3356422.59,8053048.35,14105057.81,31555400.18,30939894.92,155822864.97,140728149.25,82035129.27,211753797.47,300687528.16
h_0,1361.27,1943.77,3246.07,4067.39,3656.55,28294.4,1492538.24,5790803.24,14604056.24,23942262.46,26520485.8,40363250.28,48811753.53,78248495.16,97301711.05,307087552.38
a_0,1426.71,1391.26,3153.2,4123.08,5153.05,8674.04,3632179.03,8312980.44,12298385.54,30566732.6,31798951.56,50757714.16,94374672.82,344755294.25,116517474.17,262886810.34
e_0,584.14,1995.29,2616.79,5112.84,6380.89,26689.34,3516157.67,4829724.55,15131647.83,27356321.34,30270155.81,49391160.32,141965319.79,82756317.22,438185372.96,246456384.69
g_0,990.49,1268.74,3132.11,6459.69,6461.81,19799.43,2797072.28,6159648.71,15304778.82,20382081.31,,61902342.7,102809124.25,73086421.46,96746091.18,100011286.54
