,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.4,1.63,1.5,2.04,1.67,1.69,3.17,5.38,3.42,3.29,3.86,3.64,3.95,4.83,4.84,3.6
f_1,2.24,2.41,1.54,1.7,1.57,1.63,2.89,3.78,3.35,3.62,3.47,2.79,3.49,4.3,4.21,2.89
d_1,1.74,1.83,2.57,1.42,1.57,1.61,3.28,3.11,2.75,5.52,4.25,3.71,4.0,4.96,4.43,3.96
c_1,1.46,1.58,1.79,2.64,2.64,1.76,3.27,2.9,3.13,2.74,2.92,3.42,3.24,4.21,3.84,4.06
b_1,1.55,1.65,1.75,1.44,2.98,2.9,3.39,3.15,3.47,3.82,3.14,3.96,3.17,4.95,4.59,4.03
a_1,1.75,1.73,1.75,1.74,1.34,3.36,3.75,3.53,3.58,3.91,4.43,4.04,3.28,4.49,5.22,3.71
h_1,1.72,2.09,1.83,1.57,1.7,1.57,4.19,3.33,3.64,3.65,3.39,3.65,3.62,4.11,5.44,4.27
d_0,1.41,1.73,1.53,2.7,1.92,1.67,3.39,4.36,3.33,2.81,3.72,3.53,3.82,4.36,4.48,4.22
g_1,1.58,1.49,2.31,1.78,1.65,1.51,3.23,3.33,4.84,3.91,4.09,5.36,4.04,4.15,4.41,4.73
c_0,1.91,1.86,1.56,1.88,1.55,1.47,3.38,4.37,3.28,4.6,5.88,4.18,4.79,5.12,5.58,4.09
b_0,1.7,1.92,1.73,2.01,1.64,1.23,3.37,4.14,3.35,2.99,4.72,4.07,6.39,4.75,4.61,4.22
f_0,1.55,1.76,1.9,1.87,1.8,1.62,3.11,3.78,2.96,3.52,3.89,4.87,4.12,5.19,4.78,7.03
a_0,1.63,1.79,1.9,2.16,1.91,1.33,3.53,3.9,3.44,3.38,3.21,3.9,5.36,4.65,4.65,4.94
h_0,1.71,2.03,1.74,1.83,1.54,1.86,3.22,3.95,4.34,3.38,3.69,3.56,4.03,4.0,5.6,3.91
g_0,1.52,1.67,2.22,1.83,1.7,1.47,3.28,3.41,2.85,3.42,3.96,4.67,4.51,4.24,4.26,4.44
e_0,1.49,2.1,1.8,1.74,1.88,1.82,3.18,3.66,3.33,3.82,3.68,3.12,3.94,4.95,4.35,5.48
