,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.3,0.5,0.39,0.64,0.42,0.35,0.96,2.03,0.7,0.91,1.04,1.18,1.13,0.55,0.8,1.01
f_1,1.08,2.35,0.43,0.31,0.32,0.31,0.78,0.85,0.73,1.16,0.4,0.81,1.25,0.51,0.99,0.91
d_1,0.4,0.57,2.42,0.39,0.46,0.35,0.89,0.45,0.91,1.95,1.01,0.98,1.13,0.79,0.7,1.14
c_1,0.37,0.42,0.45,2.41,0.94,0.36,0.93,1.02,0.67,0.29,1.02,0.64,1.3,0.76,0.64,1.2
b_1,0.45,0.43,0.51,0.5,2.55,0.75,0.82,1.0,0.66,0.85,1.0,0.44,1.28,0.85,0.57,1.19
a_1,0.44,0.65,0.53,0.49,0.37,3.01,0.73,1.09,0.86,0.68,0.91,0.86,1.55,1.01,0.47,1.06
h_1,0.48,0.84,0.65,0.63,0.48,0.35,2.95,1.09,1.41,1.1,1.07,1.18,0.88,0.96,1.19,2.03
d_0,0.56,0.56,0.33,1.13,0.55,0.43,1.15,2.43,0.97,0.82,1.26,1.34,1.5,1.04,1.18,1.39
g_1,0.51,0.52,0.86,0.63,0.53,0.44,1.06,0.94,3.25,1.07,1.85,0.99,1.4,1.0,0.97,0.81
c_0,0.74,0.67,0.76,0.29,0.34,0.44,1.21,1.38,0.94,2.66,1.23,2.29,1.53,0.94,1.31,1.65
f_0,0.46,0.35,0.63,0.75,0.6,0.52,1.11,1.4,1.2,1.08,2.78,1.2,1.47,2.14,1.19,1.47
b_0,0.57,0.82,0.57,0.68,0.2,0.26,1.26,1.35,1.21,1.2,1.13,2.93,1.46,1.21,2.57,1.56
h_0,0.58,0.87,0.59,0.58,0.46,0.49,0.78,1.42,1.36,1.25,1.16,1.09,0.97,0.96,0.87,1.79
e_0,0.32,0.73,0.55,0.65,0.49,0.4,1.28,1.28,1.16,1.35,1.09,1.19,2.04,3.14,1.43,1.67
a_0,0.74,0.6,0.62,0.66,0.48,0.22,1.37,1.32,1.11,1.49,1.12,1.25,1.38,0.86,2.82,1.46
g_0,0.5,0.54,1.05,0.54,0.53,0.44,1.04,1.11,0.7,1.53,2.0,1.08,1.58,1.06,1.26,0.9
