,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.33,1.04,1.0,1.49,1.11,1.13,2.31,4.19,2.27,2.11,2.42,2.44,3.1,2.32,2.77,3.34
f_1,1.65,2.41,1.05,1.1,1.14,0.96,1.87,2.13,1.94,2.15,2.58,1.29,2.69,1.95,2.63,2.6
d_1,1.12,1.19,2.56,0.99,1.05,0.97,2.24,1.78,2.07,3.91,2.81,2.79,3.08,2.97,2.42,2.66
c_1,0.89,1.18,1.16,2.6,1.83,1.13,2.22,1.64,2.25,1.2,2.3,2.51,2.95,2.07,2.26,3.02
b_1,1.16,1.06,1.14,0.91,2.71,2.03,2.2,2.4,2.24,2.05,1.51,2.8,3.66,2.28,2.23,3.3
a_1,1.02,1.41,1.28,1.12,0.84,3.34,2.49,2.66,2.07,3.24,2.76,2.53,3.13,2.82,1.47,3.69
h_1,1.17,1.64,1.25,1.28,1.25,1.05,4.07,2.59,3.03,2.45,2.56,2.29,2.58,2.71,2.55,3.74
d_0,1.03,1.25,0.83,2.28,1.28,1.22,2.35,3.91,2.35,2.47,2.53,3.13,3.24,2.6,2.87,3.65
g_1,1.16,1.05,1.82,1.02,1.14,1.31,2.01,2.4,4.5,2.64,2.59,4.04,3.06,3.18,3.31,2.44
c_0,1.41,1.41,1.31,1.01,1.19,0.97,2.7,2.3,2.41,4.06,4.61,2.82,3.42,3.21,3.2,3.29
b_0,1.5,1.27,1.39,1.22,0.63,1.04,2.37,2.94,2.49,2.44,4.29,2.87,3.61,3.28,5.36,3.32
f_0,1.3,1.16,1.37,1.23,1.11,1.2,3.0,2.72,2.51,3.04,2.94,4.38,3.59,4.92,2.34,3.46
h_0,1.26,1.6,1.4,1.3,0.95,1.17,1.71,2.67,3.05,2.78,2.97,2.76,2.51,3.1,2.55,4.58
e_0,0.82,1.75,1.2,1.43,1.1,1.09,2.76,2.86,2.2,3.09,2.76,2.93,3.21,5.17,2.67,3.67
a_0,1.24,1.39,1.46,1.41,1.02,0.75,2.52,2.6,2.82,2.62,2.43,2.87,3.85,3.54,5.18,3.53
g_0,1.12,1.16,1.79,1.47,1.27,1.05,2.36,2.18,2.12,2.69,2.62,3.94,2.84,3.02,2.76,2.78
