,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.63,0.63,0.84,0.67,0.5,0.76,0.86,0.73,1.22,0.88,0.87,0.83,0.73,0.49,0.84
f_1,1.09,1.52,0.64,0.71,0.53,0.41,0.76,0.6,0.66,0.75,0.8,0.38,0.68,0.69,0.6,0.78
d_1,0.65,0.77,1.54,0.52,0.7,0.64,0.78,0.74,1.31,0.56,0.84,0.72,0.96,0.76,0.75,0.64
c_1,0.64,0.7,0.76,1.58,1.1,0.48,0.71,0.66,0.42,0.68,0.6,0.85,0.77,0.74,0.72,0.82
b_1,0.62,0.75,0.75,0.56,1.6,1.06,0.91,0.72,0.81,0.75,0.47,0.88,1.0,0.44,0.71,0.82
a_1,0.82,0.94,0.71,0.71,0.53,1.74,0.97,0.82,0.95,0.96,0.91,0.72,0.99,0.67,0.77,0.99
h_1,0.93,1.21,0.88,0.86,0.71,0.7,1.73,1.29,1.1,0.97,1.04,0.86,0.64,0.95,0.71,1.28
g_1,0.75,0.88,1.3,1.0,0.83,0.73,0.88,1.79,1.12,0.94,1.0,1.4,1.11,0.78,0.83,0.7
c_0,1.04,1.04,0.91,0.77,0.68,0.9,1.15,0.91,1.62,1.22,1.86,1.09,1.2,1.04,1.0,1.09
d_0,0.96,0.99,0.56,1.54,0.89,0.59,1.13,1.02,0.93,1.6,1.33,1.18,1.13,0.84,0.86,1.17
b_0,0.92,1.06,1.08,1.02,0.57,0.7,1.2,1.12,1.01,0.98,1.65,1.12,1.2,1.72,0.98,1.06
f_0,0.84,0.88,1.13,1.02,0.89,0.95,1.22,1.08,1.06,1.14,1.26,1.62,1.34,0.93,1.43,0.86
h_0,1.09,1.34,1.18,0.94,0.72,0.75,0.89,1.22,1.17,1.15,1.2,0.93,0.95,0.75,1.0,1.49
a_0,1.04,1.07,1.06,0.88,1.12,0.42,1.22,1.33,1.14,1.26,1.07,1.26,1.56,1.71,0.92,1.09
e_0,0.74,1.12,0.96,1.13,0.93,0.78,1.44,1.11,1.22,1.44,1.18,1.0,1.21,1.01,1.74,1.26
g_0,0.93,0.92,1.42,1.16,0.97,0.78,0.96,0.87,1.25,1.08,1.44,1.82,1.03,1.19,0.86,0.85
