,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,1.09,1.29,1.43,2.48,15.33,21.87,27.05,27.19,30.22,34.17,58.32,65.72,64.66,105.16
e_1,0.79,1.0,1.2,1.53,1.53,2.59,17.2,22.8,32.45,27.98,28.69,44.33,65.75,76.26,88.75,117.29
d_1,0.92,0.82,1.0,0.91,1.11,2.0,14.77,22.7,18.99,16.97,24.43,31.75,54.29,62.85,71.39,78.03
c_1,0.78,0.65,1.04,1.0,1.51,2.07,12.73,17.84,14.27,18.92,17.83,30.45,49.83,59.44,63.67,80.18
b_1,0.69,0.65,0.9,0.69,1.0,2.57,12.52,16.9,14.95,18.16,20.63,26.22,43.58,57.71,58.5,81.79
a_1,0.4,0.4,0.49,0.47,0.39,1.0,7.42,9.04,9.45,10.01,12.26,14.93,26.93,29.5,31.78,43.2
h_1,0.07,0.06,0.07,0.07,0.08,0.14,1.0,1.31,1.5,1.57,1.67,2.23,3.75,4.79,4.66,6.86
c_0,0.04,0.04,0.04,0.06,0.06,0.11,0.76,1.0,1.19,1.1,1.53,1.63,3.2,3.28,3.66,4.67
d_0,0.04,0.03,0.05,0.07,0.06,0.1,0.68,0.85,1.0,1.14,1.08,1.63,2.71,3.13,3.34,4.83
g_1,0.04,0.03,0.06,0.05,0.06,0.1,0.62,0.94,0.92,1.0,1.05,1.87,2.57,2.69,3.25,4.78
b_0,0.03,0.04,0.04,0.06,0.05,0.08,0.58,0.66,0.97,0.93,1.0,1.37,2.91,2.64,2.71,3.86
f_0,0.03,0.02,0.03,0.03,0.04,0.07,0.44,0.61,0.64,0.52,0.68,1.0,1.7,1.95,3.03,2.52
a_0,0.02,0.02,0.02,0.02,0.02,0.04,0.26,0.33,0.38,0.37,0.36,0.61,1.0,1.26,1.32,1.82
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.2,0.3,0.33,0.38,0.38,0.49,0.81,1.0,1.03,1.57
e_0,0.02,0.01,0.01,0.02,0.02,0.03,0.21,0.28,0.31,0.31,0.37,0.33,0.81,0.94,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.21,0.22,0.21,0.25,0.38,0.55,0.62,0.81,0.99
