,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.29,0.25,0.19,0.18,0.16,0.16,0.47,0.34,0.97,0.13,0.51,0.44,0.4,0.56,0.46,0.6
f_1,0.22,2.28,0.42,0.21,0.2,0.19,0.37,0.34,0.38,0.37,0.4,0.08,0.32,0.65,0.23,0.39
e_1,0.19,0.26,2.35,0.26,0.2,0.12,0.45,0.33,0.49,0.97,0.47,0.47,0.39,0.4,0.12,0.44
c_1,0.21,0.18,0.2,2.4,0.41,0.14,0.49,0.32,0.09,0.44,0.44,0.47,0.4,0.62,0.43,0.54
b_1,0.21,0.23,0.22,0.24,2.51,0.31,0.32,0.44,0.38,0.48,0.08,0.46,0.28,0.6,0.39,0.55
a_1,0.27,0.27,0.18,0.23,0.21,3.11,0.4,0.41,0.58,0.38,0.31,0.4,0.08,0.65,0.32,0.44
h_1,0.52,0.53,0.31,0.3,0.33,0.24,2.8,0.86,0.76,0.71,0.87,0.86,0.8,0.4,0.78,1.14
g_1,0.66,0.31,0.4,0.34,0.35,0.23,0.5,3.09,0.68,0.53,0.74,1.06,0.61,0.73,0.84,0.25
c_0,0.42,0.53,0.38,0.16,0.35,0.27,0.82,0.75,2.28,0.86,1.53,0.95,0.8,0.98,0.71,1.14
d_0,0.12,0.41,0.38,0.87,0.25,0.35,0.59,0.55,0.66,2.29,0.75,0.84,0.56,0.96,0.79,1.04
b_0,0.41,0.48,0.29,0.4,0.14,0.26,0.91,0.66,0.85,1.11,2.6,1.19,1.37,1.22,0.88,1.17
f_0,0.55,0.16,0.39,0.38,0.43,0.28,0.71,0.69,1.0,0.81,0.88,2.46,0.77,1.06,1.19,1.03
a_0,0.35,0.53,0.39,0.42,0.41,,0.74,0.69,0.72,0.93,0.73,0.98,2.74,1.31,0.67,0.96
h_0,0.46,0.53,0.41,0.32,0.36,0.25,0.28,0.89,0.88,0.88,0.73,0.68,0.68,0.39,0.59,1.16
e_0,0.43,0.59,0.16,0.37,0.31,0.3,1.01,0.66,0.83,0.86,0.81,0.9,1.14,1.04,2.75,1.23
g_0,0.57,0.35,0.37,0.47,0.29,0.26,0.72,0.19,0.93,0.78,0.73,1.06,0.67,1.04,0.67,0.53
