,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.29,1.48,0.71,0.8,0.7,0.53,1.53,1.28,1.54,1.78,1.63,0.91,1.41,2.08,1.08,1.72
e_1,0.96,2.35,0.79,0.98,0.69,0.59,1.61,1.52,1.7,3.08,1.72,1.61,1.58,2.14,0.94,1.7
d_1,0.97,0.8,2.39,0.74,0.72,0.64,1.54,1.37,3.0,0.97,1.94,1.59,1.55,2.14,1.45,1.9
c_1,0.87,0.73,0.81,2.5,1.4,0.66,1.53,1.3,0.91,1.49,1.32,1.82,1.39,2.0,1.28,1.87
b_1,0.94,0.8,0.89,0.76,2.62,1.22,1.57,1.33,1.6,1.41,0.97,1.65,1.03,1.99,1.31,1.74
a_1,0.86,0.77,0.96,0.93,0.83,3.16,1.61,1.22,1.64,1.52,1.4,1.47,0.99,2.06,1.44,2.18
h_1,1.21,0.92,1.0,0.88,0.8,0.65,3.17,1.85,1.53,1.7,1.7,1.86,1.79,2.04,1.46,2.7
g_1,0.76,0.81,1.41,0.89,0.73,0.65,1.77,3.6,2.07,1.67,1.69,2.68,1.67,2.66,1.82,1.76
c_0,1.12,0.99,0.97,0.65,0.68,0.71,1.88,1.47,3.04,1.9,3.49,1.77,2.09,2.35,1.72,2.4
d_0,0.96,0.82,0.75,1.61,0.85,0.64,1.67,1.47,1.22,2.99,1.55,1.83,1.58,2.5,1.48,1.77
b_0,1.08,0.93,0.92,1.08,0.65,0.45,2.09,1.59,1.75,2.07,3.29,1.72,3.4,2.71,1.91,2.44
f_0,0.91,0.8,1.06,0.95,0.84,0.69,1.8,1.64,1.72,1.95,2.0,3.33,1.64,2.65,3.37,2.24
a_0,1.0,0.91,1.06,1.04,0.89,0.39,1.88,1.66,1.91,1.9,1.79,1.66,3.28,2.95,1.63,2.45
h_0,1.2,0.87,1.06,0.89,0.91,0.63,1.35,1.92,1.88,1.71,1.57,1.78,1.6,1.42,1.59,2.72
e_0,1.22,0.68,1.05,0.92,0.9,0.5,2.01,1.53,2.02,1.78,1.81,1.75,1.79,3.01,3.65,2.15
g_0,0.9,0.79,1.32,0.9,0.93,0.66,1.58,1.05,1.82,1.54,1.64,2.71,1.9,2.42,1.87,1.87
