,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,38.33,0.05,0.07,0.07,0.06,0.08,0.27,0.28,0.39,0.71,0.46,0.39,0.57,0.33,,0.38
d_1,0.06,38.52,0.06,0.06,0.06,0.09,0.26,0.28,0.79,,0.41,0.36,0.68,0.3,0.44,0.46
f_1,0.12,0.06,39.21,0.05,0.07,0.05,0.3,0.3,0.36,0.44,,0.38,0.6,0.41,0.28,0.53
c_1,0.05,0.06,0.08,43.86,0.15,0.07,0.31,0.16,,0.41,0.46,0.19,0.62,0.39,0.33,0.63
b_1,0.07,0.05,0.06,0.05,46.16,0.15,0.33,0.26,0.28,0.38,0.38,,0.85,0.37,0.31,0.61
a_1,0.06,0.07,0.06,0.08,0.07,67.51,0.23,0.32,0.31,0.45,0.29,0.41,0.42,,0.52,0.7
h_1,0.24,0.22,0.3,0.37,0.25,0.25,26.27,1.25,1.54,1.26,1.46,1.66,,1.26,0.9,3.67
g_1,0.25,0.49,0.23,0.15,0.3,0.21,1.21,32.99,1.38,1.19,2.23,1.88,1.26,1.13,1.31,
c_0,0.34,0.42,0.34,,0.3,0.31,1.73,1.55,19.33,1.8,1.93,3.63,1.84,2.22,2.02,2.67
d_0,0.46,,0.38,0.87,0.39,0.31,1.78,0.8,1.06,18.61,2.06,1.95,3.29,1.67,1.47,2.18
f_0,0.32,0.4,,0.34,0.37,,1.47,1.97,2.16,1.62,21.71,1.63,3.34,,5.12,2.78
b_0,0.27,0.44,0.39,0.37,,0.25,1.33,1.61,2.22,1.41,1.54,21.86,4.2,5.05,1.31,2.4
h_0,0.43,0.35,0.92,0.52,0.63,0.34,,3.79,3.81,3.26,2.32,1.97,,3.1,3.1,6.45
a_0,0.37,0.39,0.34,0.31,0.24,,1.79,1.13,1.64,1.78,1.47,1.68,4.28,30.23,2.07,4.15
e_0,,0.32,0.39,0.27,,0.62,1.79,1.77,1.64,2.74,1.82,1.93,3.6,,31.28,2.83
g_0,0.46,1.0,0.4,0.56,0.47,0.49,1.99,,2.27,2.69,4.23,4.66,4.19,2.84,2.84,
