,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.96,0.67,1.22,0.99,0.84,0.76,0.76,0.84,0.57,0.68,0.75,0.73,0.68,0.65,0.65
d_1,1.04,1.0,1.09,0.85,0.94,0.82,0.71,0.57,0.6,0.79,0.69,0.6,0.58,0.58,0.59,0.42
f_1,1.48,0.92,1.0,0.98,0.78,0.72,0.56,0.69,0.71,0.61,0.59,0.47,0.41,0.45,0.51,0.6
c_1,0.83,1.19,1.02,1.0,1.49,0.8,0.75,0.68,0.5,0.51,0.54,0.61,0.66,0.51,0.56,0.5
b_1,1.0,1.05,1.3,0.68,1.0,1.47,0.77,0.8,0.73,0.83,0.75,0.65,0.68,0.67,0.44,0.66
a_1,1.21,1.22,1.37,1.25,0.68,1.0,0.88,0.8,0.67,0.8,0.84,0.76,0.67,0.7,0.77,0.68
h_1,1.38,1.4,1.68,1.4,1.35,1.14,1.0,1.2,0.9,0.91,0.82,0.9,0.98,0.92,0.83,0.92
g_1,1.34,1.7,1.5,1.38,1.29,1.25,0.82,1.0,0.98,0.91,0.95,1.18,0.7,0.86,0.79,0.87
d_0,1.15,1.79,1.43,2.01,1.34,1.48,1.13,1.06,1.0,0.93,0.78,0.9,0.9,0.86,0.74,0.94
c_0,1.68,1.23,1.66,1.79,1.28,1.26,1.1,1.12,1.1,1.0,1.31,0.99,0.95,0.93,0.97,0.95
b_0,1.51,1.45,1.67,1.77,1.36,1.19,1.24,1.05,1.27,0.81,1.0,1.08,0.99,0.86,1.24,0.97
f_0,1.3,1.67,2.13,1.62,1.49,1.34,1.12,0.85,1.15,1.01,0.96,1.0,1.06,1.31,0.79,0.8
h_0,1.45,1.67,2.32,1.55,1.43,1.47,1.06,1.48,1.04,1.04,1.06,0.97,1.0,0.91,0.83,0.95
e_0,1.43,1.83,2.2,1.89,1.7,1.3,1.12,1.25,1.18,1.09,1.13,0.8,1.12,1.0,0.98,0.84
a_0,1.56,1.65,1.82,2.12,2.38,1.2,1.33,1.28,1.43,0.93,0.78,1.26,1.22,0.95,1.0,0.91
g_0,1.62,2.23,1.73,1.98,1.53,1.4,1.09,1.17,1.1,1.13,1.09,1.27,1.07,1.12,0.99,1.02
