,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,1.01,0.85,1.29,1.55,2.89,19.06,36.34,27.11,35.16,37.42,48.21,66.35,111.13,106.57,126.79
d_1,0.97,1.0,1.11,0.98,1.35,2.91,16.94,27.94,32.77,22.48,37.61,38.47,67.07,72.62,99.38,114.61
f_1,1.19,0.89,1.0,1.1,1.27,2.91,13.78,23.03,23.22,28.35,29.4,37.77,58.78,90.89,76.86,99.94
c_1,0.79,0.99,0.92,1.0,2.03,2.74,16.89,15.89,22.96,25.54,26.12,38.71,60.37,80.49,83.95,85.23
b_1,0.64,0.73,0.78,0.48,1.0,3.44,12.27,16.01,18.48,18.91,22.04,26.94,49.1,65.33,60.67,65.94
a_1,0.34,0.34,0.35,0.37,0.3,1.0,6.14,8.69,8.07,10.18,12.62,14.92,21.97,31.81,28.91,35.14
h_1,0.05,0.06,0.07,0.06,0.08,0.16,1.0,1.34,1.38,1.89,1.81,2.19,3.63,5.73,4.84,6.6
d_0,0.03,0.04,0.04,0.06,0.07,0.12,0.77,1.0,0.82,1.23,1.4,1.56,2.47,3.5,3.58,4.48
c_0,0.04,0.03,0.04,0.04,0.05,0.11,0.68,1.2,1.0,1.01,1.66,1.64,2.64,3.55,3.65,4.76
g_1,0.03,0.04,0.04,0.04,0.05,0.1,0.54,0.84,0.99,1.0,1.34,1.73,1.98,3.02,3.57,3.68
b_0,0.03,0.03,0.04,0.04,0.04,0.07,0.54,0.7,0.58,0.78,1.0,1.13,2.07,3.02,2.43,4.29
f_0,0.02,0.03,0.03,0.03,0.04,0.07,0.44,0.65,0.64,0.56,0.88,1.0,1.64,1.97,2.87,2.62
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.41,0.37,0.5,0.49,0.62,1.0,1.59,1.17,1.5
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.27,0.28,0.34,0.32,0.52,0.62,1.0,0.97,1.11
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.28,0.29,0.26,0.4,0.36,0.81,1.06,1.0,1.19
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.22,0.22,0.27,0.24,0.38,0.67,0.86,0.8,1.0
