,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.87,0.97,0.95,0.8,0.61,0.58,0.76,0.68,0.57,0.54,0.51,0.49,0.52,0.61
e_1,0.8,1.0,0.97,1.25,0.95,0.88,0.72,0.64,0.66,0.85,0.64,0.71,0.6,0.61,0.62,0.63
d_1,1.15,1.02,1.0,0.85,0.9,0.88,0.7,0.87,0.54,0.67,0.73,0.64,0.61,0.62,0.62,0.47
c_1,1.05,0.82,1.18,1.0,1.46,0.76,0.7,0.52,0.7,0.46,0.52,0.6,0.6,0.57,0.56,0.59
b_1,1.07,1.02,1.12,0.67,1.0,1.43,0.86,0.75,0.68,0.69,0.65,0.65,0.68,0.52,0.55,0.65
a_1,1.27,1.11,1.12,1.26,0.72,1.0,0.93,0.8,0.8,0.92,0.93,0.75,0.83,0.82,0.66,0.7
h_1,1.63,1.34,1.45,1.45,1.21,1.04,1.0,0.89,1.1,0.83,0.91,0.83,0.85,0.86,0.77,0.91
c_0,1.73,1.59,1.17,1.77,1.37,1.19,1.08,1.0,1.05,1.18,1.31,0.95,0.98,1.06,0.87,0.85
g_1,1.36,1.48,1.83,1.48,1.43,1.25,0.89,0.95,1.0,0.87,0.87,1.1,0.81,0.83,0.76,0.79
d_0,1.4,1.18,1.57,2.19,1.49,1.11,1.24,0.88,1.14,1.0,0.97,0.87,1.03,0.97,0.86,0.9
b_0,1.77,1.58,1.38,1.85,1.61,1.06,1.12,0.79,1.16,1.01,1.0,0.94,1.02,1.28,0.88,0.81
f_0,1.8,1.39,1.55,1.61,1.61,1.34,1.2,1.1,0.89,1.08,1.05,1.0,1.04,1.11,1.28,0.75
h_0,1.86,1.65,1.66,1.66,1.49,1.19,1.15,1.03,1.26,0.98,0.97,0.97,1.0,0.86,0.97,1.05
a_0,2.0,1.52,1.6,1.85,1.86,1.28,1.16,1.0,1.24,1.1,0.85,0.97,1.14,1.0,1.03,0.89
e_0,2.03,1.67,1.67,1.74,1.81,1.44,1.35,1.12,1.36,1.11,1.14,0.77,1.07,0.97,1.0,0.91
g_0,1.65,1.58,2.06,1.66,1.59,1.38,1.09,1.15,1.27,1.14,1.22,1.39,0.97,1.12,1.11,1.0
