,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.81,4.32,3.0,2.59,2.56,2.54,9.65,13.89,9.32,12.14,13.05,9.14,19.65,10.84,15.36,16.92
e_1,3.21,5.87,3.39,2.25,2.69,2.65,10.4,21.29,11.23,12.89,14.68,14.14,22.06,11.2,14.92,19.74
c_1,2.8,2.6,6.56,2.97,4.91,3.28,9.51,11.32,10.02,7.72,9.68,12.59,17.03,13.85,12.34,19.77
d_1,2.95,2.84,2.29,7.44,2.59,2.48,11.48,9.07,10.78,24.34,16.78,14.39,21.29,15.44,16.27,21.75
b_1,2.72,2.58,2.82,2.83,7.74,5.89,9.41,11.73,9.05,13.08,9.94,13.37,21.59,16.17,10.56,21.43
a_1,3.11,2.64,2.84,2.88,2.88,10.56,10.72,12.48,10.74,12.22,15.23,15.04,25.3,16.51,12.69,25.02
h_1,3.69,2.92,3.19,3.05,3.07,2.95,18.33,12.44,13.85,13.96,13.49,15.18,15.75,18.21,15.27,26.9
d_0,3.25,2.76,5.01,2.17,3.38,2.71,11.24,18.77,11.82,9.96,13.15,12.59,22.09,17.01,16.0,21.47
g_1,2.95,2.39,2.96,4.67,3.27,3.01,10.92,10.95,22.95,15.1,13.93,21.36,21.19,18.95,14.9,18.87
c_0,3.49,3.17,2.79,3.22,2.31,3.24,11.29,13.5,12.43,20.98,27.4,16.42,21.78,15.39,21.59,22.29
b_0,3.58,3.29,3.3,3.07,2.53,2.41,11.86,14.16,12.33,14.6,23.68,14.79,22.3,16.67,31.95,23.28
f_0,2.6,2.26,3.73,3.3,3.32,3.43,11.55,14.45,12.57,14.14,15.69,25.13,24.25,32.2,13.52,24.89
h_0,3.82,3.09,3.43,2.95,3.45,2.72,9.38,12.68,13.9,13.7,15.49,13.72,15.78,17.41,12.99,27.3
e_0,3.39,2.23,3.79,2.97,3.47,3.63,12.83,11.16,11.63,13.66,13.81,15.32,22.65,30.82,15.76,26.02
a_0,3.59,3.09,3.38,2.81,3.13,2.46,11.82,14.89,14.29,13.04,15.47,14.97,25.63,17.57,30.95,23.99
g_0,2.6,2.67,3.33,4.12,3.41,3.2,11.46,12.54,10.6,14.61,14.89,22.48,21.21,20.61,14.52,20.8
