,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.45,2.17,1.36,1.45,1.42,1.24,2.47,3.31,2.47,2.75,3.04,2.52,3.55,3.45,3.92,2.88
e_1,1.36,2.45,1.27,1.96,1.47,1.39,3.03,4.86,2.98,3.16,3.45,3.65,3.74,3.33,4.14,2.76
d_1,1.53,1.54,2.55,1.21,1.41,1.62,2.78,2.57,2.58,4.76,3.65,3.62,4.35,3.28,3.81,3.4
c_1,1.57,1.26,1.62,2.59,2.23,1.56,2.57,2.39,3.06,2.12,2.37,3.26,4.38,3.26,3.69,3.11
b_1,1.44,1.37,1.49,1.47,2.78,2.57,2.73,3.1,2.89,3.36,2.93,3.13,3.73,2.74,4.18,3.25
a_1,1.67,1.5,1.46,1.51,1.22,3.37,3.24,3.5,3.09,3.42,4.23,3.44,4.37,3.28,4.08,3.4
h_1,1.96,1.44,1.55,1.66,1.54,1.44,4.08,3.2,3.71,3.02,3.21,3.15,3.69,3.25,5.24,3.26
d_0,1.57,1.31,1.34,2.57,1.61,1.27,3.18,4.19,2.96,2.59,3.11,3.67,4.18,3.46,4.67,3.95
g_1,1.63,1.37,2.21,1.46,1.45,1.49,2.62,2.62,4.65,3.22,3.36,4.58,3.66,3.31,3.4,3.46
c_0,1.77,1.62,1.54,1.47,1.14,1.33,3.18,3.85,2.92,4.38,5.72,3.51,4.6,4.62,4.71,4.03
b_0,1.71,1.58,1.7,1.69,1.11,1.12,3.4,3.81,3.13,3.16,4.63,3.91,4.38,6.1,4.8,3.82
f_0,1.39,1.3,1.63,1.6,1.83,1.53,3.37,3.56,2.96,3.44,3.56,4.68,4.43,3.55,3.72,6.35
h_0,1.94,1.46,1.59,1.52,1.69,1.33,2.57,2.95,3.98,2.89,3.23,3.45,3.85,3.42,4.87,3.23
a_0,1.69,1.56,1.67,1.73,1.59,1.21,3.37,3.6,3.05,2.99,3.01,3.47,4.49,5.05,4.28,3.57
g_0,1.47,1.48,2.0,1.69,1.49,1.61,2.7,3.05,2.79,3.12,3.42,4.71,4.05,3.29,3.52,3.95
e_0,1.74,1.25,1.73,1.55,1.62,1.48,3.43,3.06,3.55,3.12,3.5,2.99,4.74,3.55,4.02,5.59
