,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.36,0.38,0.46,0.4,0.28,0.27,0.25,0.47,0.27,0.28,0.26,0.25,0.2,0.13,0.2
d_1,0.46,0.94,0.47,0.34,0.37,0.26,0.32,0.25,0.18,0.43,0.29,0.24,0.2,0.21,0.17,0.19
f_1,0.64,0.38,0.94,0.41,0.37,0.27,0.21,0.24,0.23,0.26,0.25,0.18,0.22,0.21,0.15,0.21
c_1,0.43,0.46,0.48,0.94,0.62,0.22,0.26,0.27,0.23,0.14,0.19,0.19,0.23,0.19,0.17,0.16
b_1,0.43,0.46,0.45,0.35,0.94,0.54,0.34,0.29,0.29,0.28,0.14,0.22,0.22,0.14,0.17,0.19
a_1,0.51,0.58,0.46,0.51,0.33,0.94,0.3,0.37,0.31,0.32,0.35,0.33,0.32,0.13,0.22,0.27
h_1,0.66,0.62,0.96,0.64,0.48,0.49,0.75,0.5,0.43,0.41,0.42,0.35,0.29,0.27,0.25,0.36
g_1,0.58,0.95,0.69,0.65,0.59,0.36,0.44,0.75,0.36,0.51,0.41,0.51,0.34,0.25,0.31,0.25
d_0,0.55,0.58,0.75,1.16,0.61,0.4,0.46,0.49,0.64,0.39,0.45,0.41,0.41,0.3,0.32,0.3
c_0,0.72,0.68,0.72,0.58,0.58,0.52,0.51,0.48,0.44,0.64,0.74,0.44,0.42,0.33,0.33,0.3
b_0,0.64,0.76,0.79,0.84,0.51,0.46,0.48,0.49,0.43,0.37,0.66,0.45,0.38,0.52,0.3,0.3
f_0,0.68,0.84,0.57,0.83,0.6,0.5,0.55,0.44,0.5,0.43,0.45,0.64,0.49,0.3,0.57,0.3
h_0,0.68,0.95,1.06,0.83,0.75,0.42,0.41,0.61,0.5,0.45,0.48,0.39,0.35,0.35,0.33,0.45
a_0,0.76,0.74,0.84,0.91,0.84,0.43,0.64,0.64,0.5,0.45,0.52,0.56,0.51,0.6,0.38,0.37
e_0,0.51,1.04,1.02,0.9,0.69,0.42,0.66,0.46,0.56,0.55,0.56,0.41,0.57,0.41,0.61,0.4
g_0,0.79,1.14,0.86,0.9,0.71,0.55,0.51,0.36,0.52,0.55,0.58,0.71,0.45,0.42,0.33,0.3
