,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.68,1.46,2.74,1.45,1.38,1.33,4.89,4.62,6.58,6.83,6.32,3.42,9.79,6.64,5.24,8.28
d_1,1.66,6.07,1.42,1.35,1.4,1.47,5.78,5.75,13.11,3.23,9.63,7.13,10.41,7.75,8.41,10.19
e_1,1.8,1.22,6.18,1.76,1.48,1.41,5.37,5.63,6.91,13.7,8.79,7.5,11.07,7.68,4.36,12.15
c_1,1.46,1.37,1.27,7.01,3.05,1.57,4.66,4.95,2.95,7.36,5.64,8.46,10.19,6.95,7.71,12.22
b_1,1.5,1.69,1.38,1.56,7.82,2.9,5.92,4.42,6.42,8.05,2.68,7.55,10.11,7.25,7.21,11.16
a_1,1.57,1.78,1.42,1.64,1.36,10.83,5.07,6.49,6.74,6.12,8.42,8.55,13.54,3.42,7.86,9.61
h_1,2.54,2.0,1.54,2.1,1.61,1.52,17.32,9.43,7.02,7.3,7.19,9.24,9.44,7.85,9.57,17.67
g_1,1.53,2.96,1.62,2.06,1.6,1.54,7.23,19.55,7.62,6.55,8.03,13.65,12.26,10.17,9.66,9.14
c_0,2.21,2.08,1.8,1.26,1.38,2.07,7.5,7.11,16.57,7.08,17.97,8.62,14.09,11.09,9.54,15.07
d_0,2.01,0.98,1.81,3.88,1.92,1.76,6.73,6.22,4.66,17.0,8.01,9.48,12.48,8.44,9.12,11.87
b_0,2.03,1.76,1.97,1.94,1.43,1.51,7.56,7.91,8.6,9.1,18.78,8.56,12.72,19.91,9.76,13.97
f_0,1.29,2.31,1.56,2.22,1.75,1.8,8.49,7.09,9.11,6.9,10.41,20.65,16.53,9.89,20.64,14.56
h_0,2.61,2.04,1.84,1.88,1.96,1.75,4.53,9.19,7.08,7.69,9.42,8.72,9.06,8.65,9.49,18.32
a_0,2.15,1.88,1.92,1.92,1.83,0.96,8.71,6.2,9.69,8.62,9.75,10.69,16.16,23.58,10.6,15.38
e_0,2.14,2.14,1.04,2.28,2.08,1.82,8.18,7.07,8.78,7.6,9.98,10.19,11.66,7.84,27.09,13.8
g_0,1.67,3.26,1.14,1.65,1.84,1.87,7.73,4.67,9.55,6.47,9.31,14.56,12.98,9.98,10.61,8.85
