,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.42,0.33,0.51,0.35,0.28,0.26,0.27,0.44,0.22,0.27,0.26,0.28,0.18,0.14,0.21
f_1,0.69,0.94,0.37,0.37,0.37,0.24,0.24,0.23,0.29,0.27,0.23,0.11,0.2,0.2,0.12,0.17
d_1,0.44,0.52,0.95,0.35,0.4,0.28,0.26,0.22,0.18,0.4,0.27,0.22,0.28,0.19,0.2,0.18
c_1,0.35,0.44,0.51,0.94,0.63,0.23,0.28,0.24,0.21,0.11,0.19,0.24,0.23,0.19,0.16,0.2
b_1,0.45,0.43,0.47,0.34,0.94,0.57,0.25,0.27,0.3,0.29,0.18,0.27,0.24,0.17,0.16,0.2
a_1,0.52,0.55,0.49,0.63,0.29,0.93,0.36,0.3,0.31,0.24,0.26,0.31,0.29,0.13,0.19,0.21
h_1,0.69,0.89,0.69,0.7,0.67,0.36,0.73,0.52,0.4,0.38,0.4,0.34,0.27,0.29,0.3,0.35
g_1,0.6,0.61,1.0,0.7,0.57,0.41,0.34,0.74,0.37,0.46,0.35,0.61,0.36,0.3,0.34,0.29
d_0,0.66,0.72,0.49,1.26,0.49,0.41,0.46,0.44,0.63,0.34,0.46,0.42,0.43,0.32,0.31,0.36
c_0,0.84,0.74,0.69,0.72,0.53,0.45,0.5,0.41,0.53,0.65,0.64,0.45,0.48,0.38,0.37,0.42
b_0,0.74,0.8,0.81,0.85,0.33,0.35,0.48,0.47,0.5,0.4,0.66,0.47,0.46,0.6,0.33,0.4
f_0,0.76,0.66,0.87,0.75,0.63,0.43,0.47,0.4,0.45,0.41,0.45,0.64,0.44,0.34,0.64,0.36
h_0,0.74,1.14,0.7,0.79,0.65,0.49,0.43,0.61,0.44,0.44,0.45,0.46,0.38,0.4,0.36,0.44
a_0,0.91,0.82,0.86,0.88,0.8,0.41,0.55,0.5,0.54,0.44,0.39,0.48,0.46,0.62,0.34,0.4
e_0,0.53,1.01,0.83,1.06,0.7,0.6,0.57,0.44,0.6,0.51,0.61,0.38,0.47,0.4,0.62,0.41
g_0,0.83,0.83,1.24,0.78,0.66,0.63,0.51,0.41,0.49,0.49,0.51,0.66,0.52,0.38,0.35,0.24
