,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.23,0.66,0.57,0.67,0.47,0.39,1.1,1.05,0.82,2.25,1.14,1.08,1.61,0.97,0.52,1.36
f_1,1.05,2.3,0.54,0.49,0.44,0.44,0.87,1.05,0.66,1.09,1.09,0.44,1.38,0.89,0.62,1.15
d_1,0.58,0.61,2.37,0.44,0.49,0.5,1.11,2.2,1.01,0.63,1.23,1.13,1.48,1.03,1.13,1.24
c_1,0.61,0.56,0.56,2.54,0.93,0.36,0.94,0.51,0.97,1.09,1.04,1.16,1.42,0.75,0.86,1.37
b_1,0.56,0.63,0.58,0.54,2.72,0.9,1.04,0.97,0.74,1.09,0.46,1.09,1.46,0.68,0.91,1.23
a_1,0.61,0.61,0.56,0.6,0.46,3.0,1.1,1.2,1.14,0.92,1.31,1.36,1.65,0.62,1.18,1.42
h_1,0.62,0.99,0.75,0.59,0.58,0.49,3.12,1.34,1.48,1.41,1.51,1.47,1.08,1.21,1.33,2.11
c_0,0.75,0.74,0.77,0.39,0.48,0.51,1.54,2.82,1.31,1.55,2.87,1.57,2.08,1.68,1.34,1.84
g_1,0.6,0.63,1.12,0.59,0.67,0.59,1.14,1.57,3.39,1.12,1.49,1.99,1.43,1.35,1.1,0.9
d_0,0.73,0.75,0.4,1.24,0.62,0.45,1.15,1.22,1.18,2.62,1.48,1.28,2.01,1.23,1.14,1.97
b_0,0.71,0.81,0.91,0.62,0.43,0.35,1.32,1.57,1.18,1.45,2.84,1.42,1.76,2.77,1.27,1.77
f_0,0.52,0.44,0.84,0.82,0.67,0.55,1.38,1.66,1.21,1.73,1.43,3.02,1.88,1.48,2.56,1.77
h_0,0.79,0.97,0.79,0.66,0.59,0.44,0.82,1.31,1.51,1.46,1.62,1.12,1.15,1.14,1.14,1.98
a_0,0.7,0.75,0.89,0.79,0.56,0.21,1.44,1.74,1.13,1.73,1.26,1.36,2.21,3.27,1.36,1.7
e_0,0.38,0.94,0.61,0.7,0.55,0.62,1.6,1.84,1.36,1.48,1.8,1.72,2.19,1.55,3.31,1.79
g_0,0.62,0.63,1.13,0.7,0.55,0.45,1.09,1.54,0.78,1.29,1.55,2.07,1.72,1.23,1.23,1.22
