,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.88,0.98,0.94,0.8,0.51,0.65,0.58,0.64,0.56,0.52,0.51,0.55,0.41,0.56
e_1,0.79,1.0,0.98,1.07,1.02,0.9,0.75,0.87,0.58,0.67,0.58,0.67,0.57,0.64,0.62,0.57
d_1,1.13,1.0,1.0,1.02,0.95,0.82,0.63,0.62,0.91,0.5,0.71,0.61,0.6,0.54,0.55,0.45
c_1,1.03,0.94,0.97,1.0,1.35,0.87,0.73,0.46,0.66,0.62,0.5,0.58,0.59,0.51,0.57,0.57
b_1,1.07,0.98,1.05,0.74,1.0,1.3,0.83,0.71,0.71,0.78,0.75,0.62,0.67,0.55,0.5,0.57
a_1,1.25,1.11,1.24,1.14,0.77,1.0,1.1,0.93,0.76,0.88,0.87,0.83,0.74,0.76,0.78,0.78
h_1,1.92,1.33,1.61,1.36,1.19,0.96,1.0,0.87,0.94,1.13,0.97,0.83,0.83,0.78,0.81,0.93
d_0,1.47,1.14,1.63,2.23,1.48,1.06,1.09,1.0,0.76,0.92,0.96,0.9,0.92,0.8,0.88,0.86
c_0,1.67,1.72,1.08,1.44,1.45,1.27,1.1,1.45,1.0,1.04,1.45,0.84,0.89,0.92,0.88,0.9
g_1,1.47,1.48,2.13,1.53,1.36,1.15,0.89,1.03,0.96,1.0,1.0,1.18,0.87,0.84,1.0,0.79
b_0,1.89,1.73,1.42,2.01,1.34,1.14,1.02,1.04,0.72,1.08,1.0,0.94,0.92,1.15,0.97,0.97
f_0,2.15,1.44,1.64,1.8,1.55,1.22,1.18,1.13,1.12,0.87,0.99,1.0,1.02,0.82,1.44,0.71
h_0,1.96,1.74,1.63,1.77,1.5,1.32,1.22,1.14,1.11,1.15,1.11,1.01,1.0,0.89,0.82,1.15
a_0,1.78,1.6,1.83,1.87,1.84,1.27,1.24,1.18,1.21,1.16,0.88,1.14,1.13,1.0,1.05,1.07
e_0,2.4,1.64,1.78,1.73,2.13,1.36,1.22,1.09,1.12,0.97,1.08,0.71,1.25,0.92,1.0,0.94
g_0,1.78,1.71,2.21,1.75,1.84,1.23,1.05,1.17,1.09,1.31,1.05,1.36,0.87,1.0,1.14,1.0
