,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.65,1.13,0.57,0.58,0.52,0.49,0.91,0.87,0.89,0.78,0.83,0.39,0.76,0.61,0.83,0.92
e_1,0.62,2.73,0.81,0.6,0.4,0.57,0.89,1.68,0.81,0.8,1.21,0.97,1.1,0.49,1.12,0.95
c_1,0.65,0.47,3.12,0.52,1.23,0.57,0.87,0.84,0.33,0.79,0.61,0.97,0.97,1.13,0.8,0.81
d_1,0.78,0.64,0.46,3.25,0.56,0.43,0.83,0.36,1.67,0.85,1.01,1.01,1.17,0.97,1.06,1.08
b_1,0.58,0.5,0.62,0.62,3.48,1.35,0.79,0.79,0.81,0.74,0.3,0.91,0.93,1.03,0.61,0.85
a_1,0.6,0.48,0.57,0.67,0.66,4.81,1.09,0.95,1.04,1.34,1.08,1.08,0.83,0.97,0.32,0.97
h_1,1.02,0.7,0.61,0.9,0.7,0.62,3.12,0.94,1.06,1.44,1.12,1.16,0.59,1.34,1.19,1.61
d_0,0.69,0.75,1.42,0.35,0.87,0.62,1.0,2.17,1.02,1.08,1.25,1.26,1.23,1.45,1.07,1.29
c_0,0.79,0.75,0.46,0.91,0.63,0.71,1.34,1.03,2.47,1.14,2.46,1.36,1.36,1.08,1.41,1.44
g_1,0.64,0.63,0.86,1.16,0.67,0.74,0.92,0.96,1.06,3.92,1.03,1.81,1.15,1.27,1.13,0.39
b_0,0.9,0.8,0.83,0.7,0.31,0.41,1.33,1.07,1.31,1.33,3.04,1.12,1.42,1.29,2.96,1.25
f_0,0.47,0.62,0.91,0.94,0.73,0.78,1.21,1.12,0.99,1.25,1.32,2.99,1.23,2.94,1.42,1.29
h_0,1.1,0.69,0.83,0.8,0.59,0.72,0.63,1.25,1.36,1.46,1.39,1.06,0.78,0.98,1.11,1.61
e_0,0.77,0.34,0.85,1.06,0.86,0.61,1.29,1.19,1.23,1.07,1.03,1.36,1.14,3.59,1.56,1.58
a_0,0.91,0.75,0.73,0.99,0.79,,1.05,1.41,1.34,0.85,1.27,1.16,1.48,1.46,3.88,1.34
g_0,0.64,0.65,0.74,1.38,0.67,0.7,1.04,0.91,1.32,0.88,1.33,1.84,0.93,1.21,1.32,0.73
