,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.5,0.73,0.94,0.57,0.65,0.53,0.7,0.73,0.79,0.74,0.86,0.44,0.65,0.78,0.57,0.76
c_1,0.68,1.53,0.61,1.12,0.72,0.52,0.65,0.76,0.37,0.7,0.46,0.6,0.55,0.82,0.59,0.8
e_1,0.72,0.89,1.54,0.68,0.52,0.51,0.93,1.36,0.8,0.67,0.81,0.76,0.65,0.89,0.33,0.86
b_1,0.8,0.6,0.67,1.56,0.69,0.92,0.81,0.74,0.8,0.8,0.52,0.76,0.59,0.75,0.78,0.74
d_1,0.74,0.49,0.79,0.66,1.58,0.61,0.73,0.64,1.34,0.65,0.92,0.98,0.85,0.93,0.71,0.73
a_1,0.85,0.77,0.73,0.6,0.85,1.73,0.92,0.78,0.78,0.75,0.93,0.85,0.6,0.8,0.78,0.89
h_1,1.18,1.09,0.82,0.8,0.93,0.65,1.77,1.07,0.99,1.27,1.02,0.92,0.91,0.89,0.74,1.19
d_0,1.02,1.54,0.77,0.96,0.63,0.72,1.01,1.59,0.83,0.89,0.79,0.94,0.86,1.16,1.02,1.0
c_0,1.08,0.83,0.95,0.76,0.88,0.78,1.13,1.26,1.65,0.99,1.77,1.13,1.21,1.27,1.02,1.12
g_1,0.86,0.94,0.88,0.74,1.42,0.66,0.8,1.01,1.15,1.85,0.99,1.33,0.99,1.11,0.88,0.86
b_0,1.0,1.2,0.92,0.66,0.97,0.68,0.98,1.45,1.01,0.97,1.66,0.99,1.73,1.26,0.95,1.3
f_0,0.98,1.22,0.89,0.89,0.9,0.91,1.21,1.36,1.21,0.87,1.21,1.7,0.96,1.28,1.61,0.99
a_0,1.27,1.12,1.06,0.99,0.86,0.55,1.18,1.31,1.04,1.01,0.93,1.18,1.79,1.52,1.02,1.05
h_0,1.39,1.07,0.88,0.98,0.91,0.85,0.71,1.37,1.12,1.27,1.19,0.95,0.98,0.94,1.1,1.19
e_0,1.3,0.93,0.82,0.97,1.09,0.76,1.35,1.12,1.17,1.08,1.07,1.04,1.05,1.19,1.77,1.32
g_0,0.92,1.01,0.89,0.95,1.46,0.86,1.19,1.26,1.13,0.71,0.97,1.63,1.02,1.31,1.21,0.9
