,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.24,0.9,0.41,0.45,0.39,0.31,0.86,0.71,0.89,1.04,0.99,0.39,0.78,1.2,0.54,0.9
e_1,0.61,2.31,0.46,0.54,0.38,0.32,0.88,0.92,1.04,1.85,1.04,0.93,0.94,1.23,0.35,0.94
d_1,0.56,0.46,2.34,0.48,0.38,0.38,0.86,0.78,1.75,0.41,1.06,0.93,0.84,1.19,0.84,1.19
c_1,0.52,0.4,0.42,2.45,0.93,0.32,0.91,0.72,0.34,0.81,0.78,0.9,0.84,1.19,0.77,1.19
b_1,0.5,0.46,0.55,0.42,2.57,0.69,1.0,0.77,1.0,0.85,0.47,1.13,0.68,1.14,0.91,0.94
a_1,0.47,0.43,0.62,0.55,0.46,3.14,0.95,0.69,0.92,0.91,0.73,0.84,0.37,1.14,0.86,1.49
h_1,0.8,0.59,0.62,0.58,0.48,0.41,2.91,1.15,1.0,1.09,1.21,1.16,1.07,1.04,0.91,1.72
g_1,0.47,0.54,0.9,0.58,0.45,0.47,1.05,3.29,1.38,1.19,1.15,1.72,1.06,1.57,1.24,0.64
c_0,0.8,0.61,0.64,0.27,0.46,0.45,1.07,0.94,2.64,1.34,2.26,1.18,1.29,1.54,1.07,1.41
d_0,0.65,0.56,0.34,1.08,0.47,0.44,1.1,1.04,0.85,2.61,1.12,1.27,1.03,1.43,1.03,1.14
b_0,0.68,0.58,0.69,0.66,0.29,0.27,1.36,1.07,1.23,1.5,2.83,1.25,2.04,1.85,1.13,1.56
f_0,0.46,0.53,0.78,0.59,0.54,0.46,1.21,0.98,1.16,1.1,1.36,2.82,1.06,1.75,1.96,1.43
a_0,0.65,0.64,0.71,0.7,0.47,0.13,1.27,1.16,1.35,1.21,1.0,1.2,2.91,1.92,1.13,1.44
h_0,0.85,0.55,0.74,0.63,0.52,0.39,0.52,1.3,1.24,1.24,0.92,1.2,0.91,0.77,0.97,1.61
e_0,0.83,0.29,0.71,0.61,0.6,0.31,1.36,0.88,1.29,1.13,1.15,1.21,0.99,1.92,3.23,1.42
g_0,0.56,0.52,0.97,0.55,0.62,0.44,1.04,0.49,1.24,1.1,1.12,1.88,1.2,1.41,1.0,0.68
