,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,1.3,1.88,2.38,2.42,1.74,0.88,0.88,0.92,0.71,0.79,0.95,0.6,0.56,2.21,0.61
f_1,2.42,0.67,2.26,1.99,1.91,1.64,0.63,0.72,1.02,0.7,0.61,1.4,0.76,0.45,0.66,0.63
d_1,2.53,2.03,0.65,2.15,1.73,2.23,1.01,1.56,0.66,0.86,0.85,0.61,0.76,0.66,0.64,0.43
c_1,1.8,2.34,2.36,0.65,2.36,1.87,1.04,0.5,0.91,1.33,0.74,0.69,0.71,0.68,0.75,0.64
b_1,2.06,2.42,2.53,1.49,0.62,2.49,1.05,0.94,1.19,0.99,1.36,0.89,0.8,0.8,0.73,0.51
a_1,2.78,3.53,2.71,2.25,1.67,0.57,1.26,0.92,1.48,1.03,1.17,1.04,1.65,0.74,0.72,0.87
h_1,2.73,3.35,2.32,2.59,2.63,2.13,0.6,0.93,1.12,0.81,0.77,0.77,0.87,1.09,0.84,0.9
d_0,1.78,3.46,4.68,3.5,2.84,3.5,1.59,0.67,1.26,0.96,0.97,0.9,1.18,0.9,0.96,1.07
g_1,2.96,3.06,3.27,3.44,2.52,2.52,1.27,1.03,0.56,1.07,0.92,1.08,1.01,0.71,0.94,1.52
c_0,3.34,3.01,1.78,5.85,3.09,2.57,1.65,1.38,1.22,0.66,1.43,1.11,1.06,0.95,1.1,1.08
b_0,2.6,3.66,2.86,3.32,,2.45,1.6,1.03,1.34,0.67,0.64,1.11,1.64,0.94,0.87,0.91
f_0,2.72,6.72,3.48,3.68,2.88,2.57,1.6,1.24,1.03,1.07,0.96,0.62,1.18,0.86,1.3,0.67
a_0,3.63,3.18,3.15,3.49,4.2,,1.56,1.28,1.41,1.19,0.68,1.01,0.59,1.02,1.2,1.09
h_0,3.57,3.7,3.21,3.37,3.26,3.36,2.75,1.28,1.39,1.14,1.23,1.06,1.24,1.84,1.02,1.21
e_0,6.07,4.62,2.76,3.4,3.01,3.48,1.71,1.58,1.49,1.31,1.55,0.72,1.25,1.28,0.6,1.2
g_0,3.46,4.31,3.9,3.08,4.7,3.8,1.56,1.33,2.16,1.18,1.42,1.24,1.52,0.79,1.11,1.67
