,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.45,4.87,3.91,3.84,3.83,4.28,1.22,0.95,0.75,4.33,1.09,0.75,0.55,0.73,0.39,0.94
f_1,4.7,0.44,4.04,4.45,4.79,3.23,0.93,0.88,1.64,0.9,0.77,2.23,0.43,0.94,0.66,0.69
e_1,5.33,2.31,0.43,4.7,4.66,5.1,1.24,0.99,1.38,0.84,1.02,1.3,0.63,1.0,0.82,3.76
c_1,6.44,5.68,4.42,0.4,5.77,4.66,1.17,2.65,1.15,0.51,0.81,0.85,0.75,1.12,0.7,1.09
b_1,4.62,6.26,4.73,2.57,0.38,7.22,1.87,1.14,1.72,0.88,7.15,1.05,0.83,0.97,0.82,0.97
a_1,6.26,6.54,5.66,7.03,3.13,0.33,2.05,1.5,1.73,1.32,1.25,1.62,1.13,7.16,1.03,1.19
h_1,4.11,4.53,5.62,7.11,5.11,5.2,0.36,0.86,1.52,1.14,0.97,1.05,1.72,0.76,0.82,0.85
c_0,2.7,5.47,6.72,21.79,5.32,5.84,1.47,0.45,2.06,1.46,1.14,1.05,1.0,1.17,0.96,1.03
g_1,4.67,6.67,7.41,6.28,6.64,5.32,0.99,1.16,0.33,1.19,1.07,0.76,0.66,1.22,1.18,0.78
d_0,11.46,4.68,3.22,5.78,6.6,6.09,1.83,1.19,2.27,0.45,1.34,0.94,0.77,1.34,0.87,0.94
b_0,4.7,5.46,5.66,9.02,13.72,4.49,1.91,0.61,1.74,1.13,0.42,1.44,0.96,1.25,0.87,1.07
f_0,5.72,19.06,5.99,7.16,4.8,5.47,1.62,1.18,1.15,1.42,1.01,0.4,0.92,1.21,0.54,1.06
h_0,6.17,6.78,6.83,7.13,6.96,6.31,4.13,1.31,1.94,1.42,1.18,1.34,2.79,1.06,1.02,1.14
a_0,5.64,8.41,7.2,10.22,9.19,,1.86,0.95,2.0,2.15,0.66,1.27,0.82,0.36,0.88,1.11
g_0,5.9,9.0,8.2,7.83,7.09,6.27,1.62,1.19,3.5,2.15,1.28,1.28,0.75,1.18,2.29,1.54
e_0,5.64,8.48,28.39,6.12,6.54,10.42,2.55,1.51,2.0,1.91,1.34,0.7,1.11,1.28,0.96,0.36
