,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.4,0.96,0.8,0.87,0.61,0.67,0.66,0.6,0.54,0.58,0.45,0.61,0.6,0.44
d_1,1.17,1.0,1.09,0.85,0.94,0.65,0.76,0.61,0.67,0.88,0.65,0.62,0.67,0.46,0.54,0.48
e_1,0.71,0.92,1.0,1.05,1.07,0.98,0.82,0.65,0.89,0.68,0.7,0.73,0.7,0.64,0.51,0.59
c_1,1.04,1.18,0.96,1.0,1.33,0.67,0.64,0.58,0.51,0.51,0.61,0.52,0.68,0.58,0.55,0.65
b_1,1.25,1.07,0.93,0.75,1.0,1.27,0.84,0.75,0.67,0.72,0.64,0.68,0.59,0.68,0.54,0.67
a_1,1.15,1.55,1.02,1.49,0.78,1.0,0.94,0.76,0.77,0.71,0.79,0.73,0.69,0.69,,0.58
h_1,1.66,1.32,1.19,1.54,1.16,1.06,1.0,1.25,0.84,0.84,0.83,1.0,0.87,0.99,0.71,0.89
g_1,1.55,1.68,1.47,1.77,1.3,1.26,0.79,1.0,0.88,0.95,1.05,1.0,0.7,0.65,0.77,0.78
d_0,1.47,1.55,1.07,2.07,1.58,1.34,1.17,1.18,1.0,0.89,0.83,0.86,0.88,0.79,0.92,0.86
c_0,1.78,1.16,1.51,2.03,1.35,1.47,1.19,1.11,1.16,1.0,1.12,1.45,1.0,0.9,1.13,0.93
f_0,1.74,1.57,1.48,1.72,1.58,1.21,1.17,1.02,1.23,0.9,1.0,0.99,0.88,0.74,0.87,1.31
b_0,1.72,1.58,1.32,2.03,1.57,1.27,1.01,0.96,1.12,0.68,1.01,1.0,1.07,0.84,1.33,0.87
h_0,2.15,1.61,1.38,1.53,1.75,1.4,1.19,1.38,1.09,0.95,1.21,0.94,1.0,1.18,0.93,0.84
g_0,1.59,2.12,1.53,1.75,1.45,1.53,1.01,1.57,1.14,1.15,1.31,1.24,0.84,1.0,0.91,0.95
a_0,1.6,1.87,1.92,1.78,1.74,,1.35,1.2,1.06,0.75,1.14,0.75,1.08,1.15,1.0,0.78
e_0,2.27,1.98,1.65,1.52,1.47,1.7,1.14,1.31,1.14,1.05,0.77,1.18,1.27,1.04,1.48,1.0
