,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.45,17.89,30.01,36.57,32.89,32.65,11.32,6.66,8.2,7.15,7.84,7.16,5.2,7.34,4.89,
f_1,35.73,0.44,35.13,30.33,43.64,46.85,7.36,7.35,12.19,7.4,,6.75,2.62,5.51,4.77,5.22
c_1,31.2,33.61,0.42,40.28,37.51,33.34,8.4,3.95,9.13,,5.89,8.48,5.58,9.85,6.44,7.1
d_1,49.35,40.92,37.93,0.42,34.78,30.47,8.13,,6.28,6.87,7.87,7.18,4.19,7.21,2.91,7.49
b_1,39.49,40.09,21.04,37.94,0.4,38.02,11.13,7.91,10.09,7.38,12.13,,4.6,,3.67,7.1
a_1,49.08,33.15,52.93,47.01,21.13,0.34,12.23,8.65,7.63,14.55,8.73,,7.86,,7.97,
h_1,29.02,15.78,18.62,16.39,18.8,18.96,0.38,3.03,4.92,3.39,2.68,2.74,,3.11,2.67,3.91
d_0,7.89,16.01,15.25,,22.75,17.4,3.46,0.5,4.7,3.39,2.73,3.1,2.13,2.35,2.67,2.5
g_1,18.0,26.48,23.48,19.03,16.53,19.44,4.16,4.91,0.33,5.36,3.48,5.24,1.98,,,
c_0,16.61,13.23,,9.13,20.35,13.67,4.44,4.13,6.46,0.47,3.67,3.62,1.79,3.61,2.05,2.24
f_0,16.46,,13.72,20.31,15.11,15.24,4.44,3.03,3.43,3.16,0.48,3.7,4.07,2.74,1.49,3.15
b_0,22.69,21.6,20.02,21.55,,,4.47,3.76,5.0,1.62,3.35,0.43,2.19,4.0,2.75,
h_0,13.54,14.5,10.75,11.47,8.48,13.93,,3.26,4.07,2.19,2.08,2.21,,2.18,2.6,2.74
a_0,24.1,31.13,33.67,26.58,,,8.38,3.4,,5.01,3.7,2.15,2.67,0.36,2.75,
g_0,11.96,16.84,11.48,10.7,15.74,16.86,3.29,3.41,,2.87,4.0,3.06,1.66,3.25,,2.84
e_0,,23.98,29.07,21.94,25.79,,5.36,4.09,,5.77,1.94,,3.84,,2.05,0.36
