,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,0.47,0.72,0.76,0.98,0.93,0.22,0.26,0.18,0.18,0.15,0.16,0.16,0.12,0.56,0.13
f_1,0.73,0.17,0.82,0.74,0.81,0.65,0.15,0.26,0.15,0.15,0.37,0.15,0.15,0.07,0.13,0.11
c_1,0.67,0.74,0.16,1.01,0.72,0.69,0.22,0.21,0.09,0.26,0.16,0.15,0.18,0.13,0.16,0.1
d_1,0.87,0.78,0.92,0.15,0.72,0.76,0.24,0.12,0.43,0.14,0.17,0.14,0.16,0.1,0.13,0.07
b_1,0.7,0.86,0.46,0.88,0.14,0.74,0.26,0.27,0.18,0.2,0.16,0.57,0.17,0.14,0.15,0.16
a_1,0.82,0.93,0.85,0.74,0.41,0.09,0.24,0.24,0.18,0.18,0.15,0.24,0.36,0.15,0.16,0.13
h_1,0.61,0.64,0.57,0.67,0.66,0.51,0.06,0.19,0.13,0.12,0.11,0.13,0.12,0.17,0.11,0.09
g_1,0.64,0.7,0.68,0.54,0.71,0.66,0.13,0.05,0.16,0.11,0.13,0.1,0.11,0.08,0.12,0.17
d_0,0.33,0.68,0.65,1.44,0.58,0.58,0.18,0.25,0.07,0.13,0.13,0.17,0.15,0.08,0.15,0.13
c_0,0.75,0.77,1.06,0.31,0.64,0.54,0.21,0.16,0.18,0.06,0.11,0.11,0.11,0.09,0.1,0.11
f_0,0.51,1.19,0.69,0.59,0.57,0.56,0.2,0.11,0.13,0.11,0.05,0.13,0.1,0.1,0.13,0.06
b_0,0.67,0.61,0.72,0.5,0.98,0.65,0.16,0.16,0.15,0.05,0.11,0.05,0.12,0.09,0.11,0.09
a_0,0.68,0.58,0.67,0.46,0.81,1.31,0.18,0.18,0.16,0.1,0.09,0.07,0.04,0.07,0.14,0.08
h_0,0.57,0.58,0.57,0.51,0.66,0.62,0.28,0.18,0.15,0.12,0.12,0.13,0.12,0.15,0.12,0.09
e_0,0.98,0.99,0.54,0.54,0.54,0.5,0.17,0.15,0.17,0.12,0.06,0.14,0.11,0.11,0.04,0.07
g_0,0.59,0.63,0.64,0.54,0.48,0.67,0.13,0.35,0.13,0.12,0.13,0.13,0.13,0.07,0.14,0.13
