,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.47,1.2,0.58,0.56,0.59,0.54,0.83,0.71,0.81,0.9,1.0,0.4,0.99,0.75,0.65,0.77
e_1,0.75,2.52,0.57,0.75,0.6,0.61,0.98,0.75,1.65,0.94,0.87,0.93,0.85,0.98,0.5,0.97
d_1,0.74,0.57,2.83,0.54,0.59,0.58,0.96,0.95,0.48,1.75,1.26,1.02,1.04,1.06,1.19,1.11
c_1,0.63,0.54,0.61,2.85,1.19,0.61,0.87,1.02,0.9,0.33,0.64,0.86,0.9,0.87,0.97,0.81
b_1,0.62,0.57,0.66,0.75,3.1,1.28,0.81,0.86,0.91,0.83,0.45,1.08,1.08,0.74,0.88,0.84
a_1,0.74,0.62,0.77,0.77,0.52,4.6,0.91,0.86,0.93,0.86,0.94,1.1,0.97,0.6,1.0,1.01
h_1,1.09,0.77,0.94,0.76,0.73,0.57,2.64,1.45,1.0,1.2,1.15,1.24,0.66,0.89,1.29,1.52
g_1,0.57,0.55,1.47,0.8,0.88,0.6,1.13,3.27,0.8,1.06,1.15,1.74,1.05,1.2,1.34,0.84
d_0,0.81,0.72,0.48,1.54,0.81,0.78,1.19,1.04,1.98,0.73,0.95,1.2,1.08,1.11,1.13,1.13
c_0,0.92,0.87,1.02,0.51,0.54,0.66,1.12,1.31,0.99,2.14,2.4,1.08,1.37,1.59,1.07,1.38
b_0,0.78,0.9,0.96,0.83,0.43,0.58,1.12,1.16,1.24,1.3,2.51,1.14,1.19,2.79,1.1,1.39
f_0,0.46,0.57,0.99,0.98,0.88,0.89,1.23,1.26,1.07,0.97,1.07,2.79,1.25,1.43,2.92,1.51
h_0,1.07,0.76,0.93,0.73,0.71,0.74,0.78,1.55,0.94,1.06,1.2,1.33,0.73,1.08,1.35,1.73
a_0,0.87,0.74,0.83,0.83,0.91,0.55,1.28,1.15,1.3,1.06,1.4,1.1,1.35,2.96,1.54,1.36
e_0,0.84,0.44,0.85,0.81,0.98,0.86,1.25,1.34,0.93,1.19,1.18,1.41,1.57,1.21,3.34,1.35
g_0,0.69,0.76,1.24,0.85,0.67,0.68,1.0,0.98,0.96,1.02,1.51,1.92,1.26,1.17,1.52,0.79
