,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.18,0.88,0.78,0.73,0.72,0.75,0.22,0.17,0.14,0.44,0.19,0.14,0.1,0.13,0.07,0.17
f_1,0.8,0.17,0.73,0.85,0.81,0.6,0.17,0.15,0.26,0.16,0.13,0.26,0.08,0.15,0.13,0.12
e_1,0.87,0.41,0.16,0.83,0.88,0.85,0.23,0.18,0.27,0.16,0.18,0.22,0.12,0.17,0.15,0.4
c_1,0.98,0.88,0.66,0.14,0.94,0.72,0.19,0.25,0.19,0.08,0.13,0.13,0.11,0.16,0.11,0.15
b_1,0.72,1.04,0.73,0.4,0.13,1.0,0.3,0.18,0.27,0.15,0.42,0.16,0.12,0.18,0.13,0.16
a_1,0.86,0.82,0.77,0.94,0.38,0.09,0.28,0.19,0.25,0.18,0.17,0.21,0.15,0.38,0.14,0.15
h_1,0.5,0.57,0.69,0.82,0.61,0.63,0.06,0.12,0.18,0.14,0.12,0.14,0.14,0.09,0.09,0.1
c_0,0.33,0.71,0.72,1.28,0.59,0.63,0.18,0.07,0.2,0.18,0.15,0.13,0.1,0.14,0.09,0.11
g_1,0.54,0.81,0.72,0.72,0.66,0.57,0.11,0.11,0.05,0.14,0.12,0.1,0.07,0.14,0.1,0.09
d_0,0.95,0.57,0.34,0.6,0.79,0.65,0.21,0.14,0.26,0.07,0.15,0.12,0.09,0.16,0.1,0.12
b_0,0.47,0.6,0.56,1.05,1.0,0.54,0.2,0.07,0.2,0.13,0.06,0.15,0.1,0.13,0.09,0.13
f_0,0.54,1.38,0.54,0.73,0.56,0.55,0.16,0.12,0.11,0.14,0.11,0.05,0.1,0.14,0.05,0.12
h_0,0.53,0.59,0.55,0.63,0.63,0.52,0.26,0.13,0.17,0.13,0.12,0.12,0.15,0.1,0.09,0.1
a_0,0.49,0.79,0.58,0.8,0.77,1.05,0.16,0.09,0.19,0.19,0.06,0.11,0.08,0.04,0.08,0.11
g_0,0.52,0.69,0.69,0.68,0.6,0.52,0.14,0.12,0.2,0.15,0.12,0.12,0.07,0.1,0.13,0.13
e_0,0.47,0.78,1.42,0.53,0.56,0.78,0.17,0.13,0.15,0.17,0.11,0.06,0.09,0.11,0.07,0.04
