,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.04,0.95,0.89,0.79,0.68,0.33,0.42,0.38,0.34,0.32,0.34,0.24,0.31,0.27,0.3
e_1,0.69,0.65,1.08,0.92,1.06,0.88,0.43,0.44,0.44,0.35,0.35,0.46,0.31,0.33,0.3,0.42
c_1,0.96,0.8,0.64,1.14,1.0,0.9,0.47,0.44,0.24,0.35,0.33,0.35,0.28,0.31,0.29,0.33
d_1,1.06,1.06,1.02,0.63,0.97,0.87,0.39,0.32,0.43,0.37,0.33,0.32,0.28,0.32,0.21,0.31
b_1,1.3,0.98,0.72,1.15,0.61,1.1,0.52,0.49,0.38,0.48,0.52,0.39,0.32,0.39,0.33,0.3
a_1,1.41,1.23,1.16,1.18,0.79,0.56,0.6,0.59,0.56,0.45,0.47,0.54,0.44,0.58,0.37,0.42
h_1,1.75,1.56,1.55,1.6,1.4,1.33,0.53,0.7,0.59,0.59,0.57,0.55,0.53,0.49,0.47,0.51
g_1,1.73,1.73,1.6,1.67,1.62,1.56,0.69,0.52,0.59,0.58,0.61,0.61,0.43,0.58,0.48,0.56
d_0,1.56,1.2,2.11,1.88,1.79,1.5,0.82,0.82,0.55,0.54,0.65,0.66,0.56,0.68,0.56,0.66
c_0,1.91,1.89,2.42,1.27,1.65,1.54,0.8,0.77,0.9,0.54,0.71,0.65,0.58,0.75,0.53,0.66
b_0,1.94,1.85,2.41,1.63,2.0,1.72,0.79,0.69,0.72,0.42,0.52,0.6,0.53,0.7,0.47,0.55
f_0,2.26,1.93,1.85,1.8,1.75,1.74,0.9,0.63,0.68,0.63,0.68,0.51,0.56,0.62,0.39,0.71
h_0,2.12,1.89,1.99,1.78,1.84,1.53,0.88,0.86,0.74,0.63,0.68,0.62,0.66,0.66,0.56,0.58
a_0,2.05,2.01,2.27,2.09,2.36,1.88,0.95,0.78,0.72,0.56,0.47,0.7,0.57,0.51,0.54,0.71
g_0,2.32,2.19,2.27,2.24,1.98,1.7,0.83,0.94,0.81,0.7,0.75,0.81,0.59,0.73,0.68,0.79
e_0,2.75,2.3,2.32,2.04,2.48,2.32,1.08,0.81,0.8,0.62,0.79,0.48,0.65,0.62,0.52,0.49
