,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.88,1.41,1.03,1.05,0.75,0.94,0.98,1.05,0.9,1.05,0.74,0.69,0.98,0.7,1.06
d_1,1.14,1.0,0.89,0.9,0.9,0.92,1.19,0.8,0.87,1.57,0.92,1.0,1.05,1.06,1.02,0.84
e_1,0.71,1.12,1.0,1.06,1.03,1.11,0.93,1.5,1.12,0.89,1.04,1.07,1.15,0.9,1.2,1.14
c_1,0.97,1.12,0.94,1.0,1.42,1.07,0.8,0.67,1.15,0.89,0.84,0.98,1.07,1.01,0.8,1.05
b_1,0.95,1.12,0.97,0.71,1.0,1.31,1.19,1.01,0.91,1.02,0.91,0.89,1.13,0.96,1.22,1.08
a_1,1.33,1.09,0.9,0.94,0.76,1.0,1.06,1.02,1.2,1.01,0.94,1.04,1.05,0.89,1.19,0.93
h_1,1.06,0.84,1.06,1.27,0.88,0.96,1.0,0.85,1.17,0.96,1.01,1.03,1.07,0.92,0.98,1.13
d_0,1.01,1.18,0.64,1.42,0.98,1.05,1.2,1.0,0.77,0.86,1.07,0.96,0.97,0.87,1.05,1.12
g_1,0.98,1.17,0.9,0.94,1.07,0.81,0.87,1.24,1.0,0.91,1.09,1.3,0.97,1.09,1.17,1.02
c_0,1.17,0.63,1.16,1.12,0.94,0.88,1.06,1.18,1.1,1.0,1.53,1.03,1.3,0.95,1.01,0.99
b_0,0.99,1.04,0.95,1.23,1.0,1.04,0.97,0.9,0.94,0.65,1.0,0.91,1.08,1.37,1.15,0.9
f_0,1.5,0.97,0.88,1.02,1.09,0.91,0.96,1.06,0.79,0.99,1.04,1.0,0.93,1.07,1.45,0.75
h_0,1.41,0.93,0.86,0.97,0.88,0.91,0.95,1.03,1.03,0.82,0.93,1.07,1.0,0.8,0.98,1.33
a_0,1.07,0.92,1.06,1.01,1.07,,1.05,1.12,0.94,1.15,0.72,1.07,1.22,1.0,0.81,0.98
e_0,1.6,0.94,0.68,1.27,0.82,0.79,1.04,0.99,0.87,1.04,0.92,0.75,1.03,1.35,1.0,0.91
g_0,0.94,1.21,0.92,1.0,0.91,1.0,0.9,0.88,0.97,0.99,1.12,1.33,0.72,0.94,1.08,1.0
