,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.67,0.98,1.35,1.31,1.66,1.45,0.63,0.7,0.68,0.52,0.5,0.47,0.48,0.45,1.06,0.44
f_1,1.54,0.66,1.48,1.35,1.39,1.08,0.47,0.68,0.47,0.45,0.76,0.49,0.46,0.29,0.38,0.38
c_1,1.35,1.39,0.65,1.68,1.55,1.2,0.67,0.61,0.32,0.62,0.52,0.47,0.55,0.47,0.49,0.37
d_1,1.64,1.51,1.56,0.64,1.33,1.36,0.71,0.44,0.89,0.57,0.56,0.51,0.54,0.39,0.43,0.3
b_1,1.32,1.61,1.02,1.67,0.63,1.57,0.77,0.75,0.61,0.63,0.54,1.18,0.51,0.5,0.49,0.58
a_1,1.82,2.19,1.99,1.75,1.12,0.56,0.92,0.84,0.72,0.74,0.61,0.84,0.89,0.65,0.68,0.53
h_1,2.14,2.38,1.97,2.19,2.12,1.67,0.58,1.06,0.79,0.69,0.67,0.75,0.7,0.86,0.66,0.63
g_1,2.32,2.41,2.47,2.35,2.41,2.21,0.82,0.56,0.92,0.75,0.91,0.68,0.69,0.62,0.78,0.9
d_0,1.4,2.59,2.86,3.57,2.1,1.98,1.09,1.27,0.64,0.78,0.83,0.97,0.88,0.63,0.82,0.89
c_0,3.01,3.18,3.39,1.54,2.45,2.07,1.35,1.09,1.21,0.61,0.86,0.99,0.83,0.75,0.75,0.87
f_0,2.26,3.84,2.88,2.45,2.37,2.24,1.3,0.8,0.98,0.82,0.6,0.98,0.79,0.84,1.1,0.52
b_0,2.82,2.62,2.96,2.29,2.79,2.19,1.13,1.17,1.04,0.52,0.85,0.58,1.04,0.75,0.83,0.74
a_0,3.1,2.77,2.99,2.23,3.35,3.98,1.35,1.35,1.15,0.88,0.87,0.63,0.57,0.69,1.08,0.73
h_0,2.68,3.09,2.67,2.55,2.84,2.52,1.58,1.36,1.19,1.02,0.92,1.02,1.0,1.09,0.94,0.87
e_0,3.47,4.54,2.69,2.87,2.73,2.43,1.35,1.2,1.29,1.06,0.6,1.11,0.9,1.04,0.57,0.72
g_0,2.94,3.2,3.29,3.16,2.4,2.96,1.13,1.97,1.09,1.04,1.29,1.15,1.11,0.72,1.18,1.05
