,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.67,1.01,1.07,0.77,0.56,0.48,0.71,0.52,0.44,0.38,0.41,0.29,0.27,,0.31
f_1,1.5,1.0,0.98,0.71,0.84,0.56,0.37,0.42,0.45,0.46,0.42,,0.27,0.31,0.33,0.4
c_1,0.99,1.02,1.0,1.11,1.09,0.94,0.55,0.37,0.59,,0.39,0.4,0.33,0.34,0.35,0.38
d_1,0.94,1.41,0.9,1.0,0.92,0.77,0.57,,0.4,0.56,0.41,0.4,0.41,0.38,0.31,0.24
b_1,1.3,1.19,0.92,1.08,1.0,1.21,0.47,0.44,0.4,0.55,,0.41,0.48,0.35,0.29,0.33
a_1,1.79,1.79,1.07,1.31,0.82,1.0,0.68,0.61,0.75,0.54,0.39,0.49,0.41,,,0.42
h_1,2.06,2.73,1.83,1.77,2.12,1.47,1.0,0.85,1.35,0.94,0.63,0.85,,0.85,0.52,0.59
d_0,1.4,2.37,2.7,,2.25,1.64,1.17,1.0,0.82,1.11,1.01,0.85,0.96,0.72,0.73,0.72
g_1,1.94,2.22,1.71,2.49,2.51,1.33,0.74,1.22,1.0,1.27,1.08,0.97,0.82,,0.61,
c_0,2.29,2.19,,1.78,1.82,1.86,1.07,0.9,0.79,1.0,1.42,0.98,1.0,0.73,0.81,0.72
b_0,2.64,2.41,2.58,2.43,,2.54,1.59,0.99,0.93,0.7,1.0,0.86,0.81,1.27,0.67,1.14
f_0,2.43,,2.47,2.51,2.42,2.05,1.18,1.18,1.03,1.02,1.17,1.0,0.8,0.71,1.3,0.49
h_0,3.49,3.66,3.04,2.47,2.09,2.44,,1.04,1.22,1.0,1.23,1.26,,0.75,0.8,0.76
a_0,3.65,3.22,2.9,2.62,2.9,,1.17,1.39,,1.36,0.79,1.4,1.34,1.0,0.98,0.72
e_0,,3.01,2.84,3.27,3.42,,1.93,1.37,1.63,1.23,1.48,0.77,1.24,1.02,1.0,
g_0,3.23,2.5,2.6,4.19,3.05,2.38,1.7,1.39,,1.39,0.87,2.02,1.32,1.38,,
