,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.8,1.15,0.88,0.99,0.85,0.71,0.87,0.72,0.62,0.7,0.61,0.63,0.6,0.59,0.62
f_1,1.27,1.0,1.01,0.85,0.88,0.87,0.62,0.7,0.65,0.61,0.58,0.57,0.49,0.52,0.57,0.46
c_1,0.86,1.02,1.0,1.12,1.3,0.88,0.72,0.5,0.63,0.57,0.59,0.53,0.65,0.56,0.64,0.52
d_1,1.08,1.17,0.89,1.0,0.91,0.78,0.7,0.68,0.57,0.83,0.64,0.73,0.59,0.61,0.54,0.53
b_1,1.02,1.09,0.78,1.1,1.0,1.28,0.78,0.67,0.75,0.75,0.68,0.71,0.63,0.62,0.54,0.6
a_1,1.18,1.17,1.11,1.26,0.81,1.0,0.88,0.81,0.86,0.81,0.88,0.9,0.75,0.61,0.68,0.81
h_1,1.36,1.59,1.37,1.43,1.28,1.11,1.0,0.88,1.05,0.84,0.84,0.8,0.85,0.73,0.81,0.71
d_0,1.14,1.37,2.03,1.48,1.56,1.22,1.14,1.0,1.0,0.74,0.89,0.79,0.99,0.84,0.84,0.84
g_1,1.4,1.5,1.55,1.73,1.37,1.1,0.94,1.03,1.0,1.0,1.05,0.91,0.79,0.76,0.86,0.8
c_0,1.65,1.63,1.76,1.25,1.3,1.21,1.18,1.35,1.01,1.0,0.98,1.23,0.91,1.02,0.82,0.89
f_0,1.46,1.72,1.67,1.58,1.49,1.11,1.18,1.04,0.89,0.99,1.0,1.03,1.04,0.89,0.77,1.27
b_0,1.59,1.73,1.93,1.38,1.47,1.23,1.24,1.2,1.1,0.82,0.92,1.0,0.93,1.24,0.82,0.93
h_0,1.67,1.98,1.52,1.73,1.57,1.32,1.21,1.09,1.29,1.09,0.96,1.08,1.0,0.98,1.05,0.93
a_0,1.69,1.83,1.79,1.61,1.61,1.66,1.42,1.2,1.27,0.99,1.06,0.83,1.02,1.0,0.94,0.96
g_0,1.66,1.75,1.58,1.89,1.77,1.45,1.27,1.14,1.17,1.21,1.26,1.14,0.88,1.01,1.0,0.99
e_0,1.74,1.95,2.04,1.91,1.62,1.29,1.33,1.2,1.24,1.18,0.8,1.06,1.09,1.0,0.99,1.01
