,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.88,1.07,0.75,0.6,0.43,0.45,0.43,0.35,0.39,0.34,0.3,0.3,0.21,0.33
e_1,0.8,1.0,0.92,1.14,0.94,0.7,0.46,0.46,0.55,0.38,0.43,0.45,0.37,0.4,0.38,0.28
d_1,1.14,1.08,1.0,0.93,0.85,0.73,0.54,0.37,0.52,0.54,0.43,0.37,0.34,0.31,0.33,0.24
c_1,0.94,0.88,1.07,1.0,1.4,0.71,0.53,0.42,0.35,0.36,0.3,0.4,0.34,0.28,0.29,0.32
b_1,1.33,1.06,1.18,0.71,1.0,1.24,0.57,0.57,0.46,0.56,0.41,0.4,0.43,0.4,0.37,0.39
a_1,1.66,1.43,1.39,1.42,0.81,1.0,0.81,0.69,0.63,0.6,0.68,0.43,0.51,0.54,0.4,0.43
h_1,2.38,2.16,1.91,1.86,1.74,1.26,1.0,1.03,0.91,0.69,0.75,0.68,0.75,0.64,0.59,0.75
g_1,2.29,2.19,2.67,2.28,1.85,1.49,0.93,1.0,0.86,0.82,0.84,1.12,0.71,0.65,0.83,0.54
d_0,2.38,1.77,1.88,2.94,2.35,1.5,1.12,1.21,1.0,0.77,0.8,0.88,0.81,0.73,0.77,0.79
c_0,2.97,2.5,1.73,2.72,1.8,1.62,1.4,1.17,1.33,1.0,1.39,0.86,0.97,0.94,0.93,0.79
b_0,2.57,2.45,2.24,3.16,2.52,1.42,1.33,1.13,1.26,0.74,1.0,1.04,1.0,1.2,0.82,0.78
f_0,2.94,2.26,2.54,2.44,2.41,2.32,1.46,0.91,1.2,1.16,1.07,1.0,0.96,0.86,1.43,0.71
h_0,3.41,2.75,2.95,2.88,2.32,2.03,1.36,1.45,1.28,1.01,1.08,1.01,1.0,0.88,0.91,1.03
a_0,3.22,2.59,3.32,3.15,2.49,1.98,1.55,1.53,1.39,1.13,0.83,1.12,1.1,1.0,0.94,0.84
e_0,4.72,2.85,3.19,3.28,2.67,2.44,1.72,1.14,1.35,1.07,1.25,0.75,1.06,1.05,1.0,0.93
g_0,3.21,3.47,3.98,3.08,2.52,2.33,1.39,1.86,1.34,1.39,1.22,1.53,0.95,1.08,1.13,1.0
