,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.95,0.52,0.46,0.66,0.45,0.37,0.37,0.54,0.31,0.29,0.29,0.3,0.31,0.21,0.21,0.26
f_1,0.87,0.95,0.47,0.51,0.5,0.3,0.3,0.36,0.29,0.31,0.32,0.19,0.28,0.16,0.22,0.21
d_1,0.63,0.64,0.96,0.45,0.45,0.3,0.38,0.3,0.29,0.53,0.37,0.32,0.33,0.27,0.24,0.23
c_1,0.5,0.62,0.58,0.95,0.81,0.36,0.36,0.27,0.32,0.23,0.26,0.3,0.3,0.21,0.2,0.24
b_1,0.65,0.58,0.57,0.47,0.95,0.66,0.38,0.38,0.34,0.33,0.28,0.33,0.38,0.22,0.19,0.26
a_1,0.67,0.79,0.74,0.64,0.46,0.94,0.47,0.42,0.37,0.45,0.38,0.38,0.36,0.27,0.21,0.32
h_1,0.89,1.1,0.81,0.79,0.73,0.48,0.78,0.51,0.58,0.48,0.46,0.36,0.39,0.34,0.29,0.44
d_0,0.79,0.93,0.71,1.35,0.76,0.54,0.59,0.71,0.48,0.43,0.44,0.5,0.48,0.34,0.35,0.42
g_1,0.9,0.85,1.22,0.75,0.73,0.53,0.48,0.5,0.77,0.55,0.53,0.66,0.47,0.39,0.37,0.35
c_0,1.12,1.06,0.85,0.8,0.69,0.48,0.64,0.58,0.53,0.72,0.79,0.54,0.52,0.42,0.45,0.39
b_0,1.19,1.03,0.96,0.91,0.58,0.5,0.63,0.64,0.52,0.53,0.71,0.51,0.57,0.44,0.68,0.4
f_0,0.94,1.05,1.02,0.86,0.87,0.58,0.79,0.59,0.51,0.58,0.54,0.69,0.53,0.69,0.31,0.41
h_0,1.05,1.32,1.03,0.94,0.77,0.56,0.55,0.62,0.67,0.58,0.55,0.57,0.46,0.42,0.42,0.59
e_0,0.94,1.51,0.94,1.06,0.86,0.61,0.77,0.69,0.54,0.68,0.54,0.53,0.6,0.68,0.41,0.49
a_0,1.16,1.27,1.1,1.01,0.85,0.4,0.74,0.7,0.66,0.64,0.52,0.65,0.57,0.52,0.64,0.47
g_0,1.06,1.09,1.42,1.11,1.0,0.64,0.65,0.53,0.54,0.68,0.6,0.79,0.49,0.44,0.4,0.44
