,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.09,2.14,2.16,2.45,2.44,1.86,0.52,0.51,0.73,0.49,0.5,0.59,0.25,0.49,0.38,0.35
d_1,2.76,1.08,2.69,2.29,2.17,2.26,0.69,0.69,0.46,0.55,0.5,0.51,0.35,0.45,0.5,0.25
e_1,1.62,2.43,1.1,2.8,2.7,2.26,0.71,0.61,0.8,0.49,0.55,0.71,0.36,0.51,0.78,0.44
c_1,2.66,3.77,2.08,1.1,2.96,2.99,0.71,0.31,0.67,0.7,0.48,0.5,0.38,0.48,0.52,0.37
b_1,3.33,3.11,3.28,1.86,1.1,2.44,1.08,0.67,0.95,0.85,0.95,0.58,0.46,0.66,0.59,0.47
a_1,5.33,4.28,4.47,4.09,2.23,1.12,1.3,0.94,1.35,0.88,1.02,0.79,0.76,1.08,0.83,0.54
h_1,9.49,8.39,9.16,10.54,9.43,7.63,1.54,1.99,2.43,1.82,1.86,1.66,1.76,1.61,1.55,1.4
d_0,10.84,15.67,7.0,12.96,13.13,11.2,3.66,1.86,3.55,2.24,2.26,2.35,1.72,2.1,2.33,1.67
g_1,12.63,11.11,11.01,11.75,12.07,9.63,2.61,2.67,1.6,2.53,2.42,2.09,1.36,2.29,1.88,2.09
c_0,13.32,7.53,12.92,17.66,12.18,11.77,4.07,4.04,3.44,1.81,2.92,2.34,1.84,2.39,2.3,1.6
b_0,12.38,11.59,12.23,15.97,21.01,12.34,3.83,2.74,3.47,1.62,1.82,2.65,1.96,2.5,2.77,1.79
f_0,19.7,15.12,14.57,15.89,14.26,13.73,4.09,3.04,3.24,2.63,3.11,1.95,2.27,2.53,2.96,1.4
h_0,17.96,16.74,16.63,18.6,17.3,15.73,6.09,3.77,5.07,3.48,3.42,3.61,3.19,2.97,2.79,2.58
a_0,20.7,18.26,19.03,20.01,27.28,27.11,6.22,4.4,5.22,3.68,2.33,3.97,2.97,2.16,3.49,2.58
e_0,31.59,21.32,24.29,22.43,23.64,19.07,5.6,4.4,5.27,4.11,3.52,2.31,3.12,3.92,2.13,2.34
g_0,25.8,22.88,22.39,21.96,21.99,21.91,4.91,4.91,6.74,4.45,4.22,3.88,2.58,3.49,4.2,3.7
