,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.04,1.1,1.41,1.64,1.44,1.15,0.58,0.58,0.54,0.43,0.43,0.53,0.33,0.39,0.33,0.45
f_1,1.61,1.04,1.37,1.54,1.29,1.19,0.46,0.56,0.49,0.4,0.42,0.46,0.26,0.39,0.31,0.33
d_1,1.8,1.76,1.04,1.59,1.4,1.3,0.62,0.46,0.62,0.57,0.46,0.47,0.36,0.37,0.27,0.37
c_1,1.43,1.72,1.78,1.05,1.84,1.4,0.63,0.61,0.34,0.52,0.42,0.44,0.38,0.4,0.34,0.38
b_1,1.86,2.12,2.04,1.23,1.05,1.85,0.7,0.73,0.52,0.68,0.7,0.54,0.44,0.52,0.47,0.43
a_1,2.81,2.69,2.65,2.52,1.5,1.06,1.16,0.91,0.92,0.8,0.99,0.77,0.61,0.86,0.55,0.61
h_1,4.39,5.06,4.01,4.22,3.85,3.43,1.22,1.53,1.34,1.17,1.16,1.19,1.05,1.04,0.97,0.94
g_1,5.1,5.03,5.4,4.91,4.32,4.45,1.57,1.24,1.46,1.38,1.24,1.48,0.88,1.16,1.05,1.09
d_0,3.8,4.86,5.59,5.72,5.47,3.86,1.95,2.07,1.35,1.41,1.49,1.54,1.36,1.29,1.3,1.26
c_0,5.53,5.96,3.77,6.18,4.91,4.18,2.21,2.11,1.93,1.36,1.92,1.57,1.27,1.41,1.16,1.39
b_0,5.84,6.08,4.93,8.39,6.03,4.3,2.09,2.07,1.93,1.16,1.34,1.69,1.26,1.69,1.13,1.41
f_0,5.7,7.39,5.93,5.83,5.5,4.54,2.29,1.58,1.84,1.83,1.62,1.32,1.36,1.57,1.0,1.72
h_0,7.5,7.89,6.77,7.45,6.54,5.03,2.95,2.79,2.01,2.04,2.09,1.9,1.87,1.71,1.7,1.55
a_0,7.31,8.03,7.37,8.39,8.29,7.36,3.01,2.93,2.55,1.99,1.54,2.39,1.93,1.43,1.68,1.67
g_0,8.93,10.05,8.83,9.07,7.73,6.11,2.67,3.24,2.57,2.37,2.27,2.53,1.55,2.17,1.88,1.85
e_0,10.11,12.57,8.3,8.76,8.45,7.35,3.45,2.75,2.58,2.32,2.53,1.67,2.15,2.17,1.7,1.51
