,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.13,4.53,5.36,4.07,4.78,3.71,0.91,1.7,1.05,0.86,1.0,2.04,0.55,1.01,0.76,1.04
e_1,2.68,1.13,5.84,5.91,6.94,5.2,1.66,1.65,1.36,1.17,1.16,1.49,0.89,1.08,1.01,3.11
c_1,5.67,4.49,1.13,6.85,4.84,5.2,2.07,1.6,0.6,2.2,1.34,1.12,0.68,0.98,0.89,1.01
d_1,6.05,6.63,6.24,1.12,5.95,6.35,1.36,0.92,2.56,0.97,0.88,0.96,0.72,1.16,0.46,0.97
b_1,9.68,6.76,3.21,7.82,1.13,7.38,2.29,2.39,1.66,2.19,4.45,1.54,1.18,1.82,1.13,1.18
a_1,9.95,11.04,12.02,10.0,5.09,1.14,3.28,3.48,2.68,2.23,2.22,3.19,2.05,6.68,1.9,2.36
h_1,17.5,17.09,18.53,16.92,17.04,17.56,1.8,5.81,3.93,4.53,4.04,3.56,5.57,3.52,2.73,4.68
g_1,22.95,26.98,21.88,19.82,22.48,21.39,5.08,1.84,4.86,4.26,3.75,4.13,2.18,4.01,4.82,5.3
d_0,22.67,11.88,21.19,49.71,21.94,20.45,7.7,7.38,2.31,4.23,4.95,4.56,3.47,5.14,3.54,4.61
c_0,29.48,23.01,67.82,13.41,28.28,23.26,7.15,7.8,7.23,2.54,5.0,5.0,3.86,6.68,3.77,5.98
b_0,28.39,26.39,46.45,21.83,63.79,33.23,7.7,6.6,5.57,2.46,2.39,4.86,3.57,4.51,2.97,4.25
f_0,53.97,26.59,29.23,21.54,28.87,35.79,9.51,5.04,5.86,4.71,5.41,2.23,4.35,4.83,2.36,4.97
h_0,34.52,29.66,29.23,30.77,28.28,25.15,14.18,8.37,5.48,5.62,5.25,5.25,8.12,5.81,4.23,4.89
a_0,38.32,30.94,43.47,31.37,66.9,97.95,9.85,9.53,6.3,5.36,3.65,5.84,4.79,2.52,4.69,8.28
g_0,46.73,48.5,45.82,31.68,38.1,45.39,9.08,18.05,9.44,7.04,7.95,7.65,5.21,8.18,11.19,7.88
e_0,73.69,55.22,42.92,41.42,47.29,60.03,14.96,9.94,8.19,7.3,7.72,3.8,6.14,6.91,5.34,2.5
