,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,3.81,0.36,0.49,0.31,0.4,0.43,0.84,1.44,0.72,0.49,0.69,1.02,0.83,0.88,0.28,0.87
f_1,0.71,3.93,0.33,0.37,0.32,0.45,0.69,0.81,0.88,0.55,0.81,0.22,0.76,0.76,0.84,1.0
c_1,0.34,0.42,4.21,0.47,0.75,0.31,0.59,0.71,0.16,0.71,0.62,0.82,0.72,0.83,0.84,0.77
d_1,0.37,0.4,0.31,4.27,0.4,0.36,0.92,0.19,1.33,0.91,1.04,0.84,0.97,1.08,1.04,0.76
b_1,0.4,0.41,0.5,0.44,4.48,0.61,0.75,0.76,0.76,0.68,0.15,0.71,0.58,0.85,0.65,0.92
a_1,0.38,0.37,0.46,0.36,0.35,7.12,0.96,0.99,0.72,0.71,0.89,0.69,0.29,0.87,0.98,1.3
h_1,0.51,1.03,0.64,0.72,0.64,0.56,5.26,1.19,1.36,2.05,1.63,1.46,1.32,0.68,1.56,1.6
d_0,0.75,0.8,1.26,0.22,0.68,0.6,1.04,3.88,1.43,1.28,1.23,1.46,1.42,1.68,1.35,1.16
c_0,0.74,0.77,0.26,0.92,0.65,0.59,1.17,1.34,4.02,1.61,3.2,1.79,1.84,1.62,1.33,1.16
g_1,0.68,0.54,0.72,1.07,0.62,0.55,1.0,0.99,1.19,7.04,1.51,2.15,1.42,1.49,1.33,0.48
b_0,0.63,0.79,0.76,0.81,0.29,0.75,1.34,1.21,1.59,1.65,4.89,1.56,3.21,1.61,1.22,1.71
f_0,0.65,0.34,0.69,0.69,0.76,0.74,1.39,1.61,1.76,1.57,2.01,5.09,2.02,2.17,2.99,1.62
a_0,0.83,0.82,0.78,0.83,0.55,0.32,1.38,1.67,1.96,1.32,1.44,1.44,5.41,1.28,1.48,1.17
h_0,0.6,0.96,0.64,0.72,0.71,0.62,0.33,1.36,1.57,1.75,1.47,1.4,1.01,0.77,1.56,2.13
e_0,0.28,0.94,0.59,0.88,0.6,0.6,1.49,1.57,1.85,1.68,1.7,1.55,1.46,1.97,6.76,1.68
g_0,0.61,0.69,0.64,1.21,0.59,0.6,1.18,0.92,1.5,,1.49,2.37,1.41,1.26,1.28,0.54
