,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.1,0.1,0.09,0.11,0.07,0.06,0.1,0.05,0.05,0.05,0.06,0.06,0.05,,0.04
f_1,0.18,0.93,0.11,0.09,0.08,0.07,0.06,0.07,0.06,0.04,0.04,,0.05,0.05,0.04,0.05
c_1,0.13,0.12,0.93,0.13,0.15,0.07,0.08,0.05,,0.04,0.05,0.05,0.05,0.03,0.06,0.05
d_1,0.12,0.12,0.05,0.93,0.09,0.09,0.08,,0.09,0.08,0.05,0.06,0.06,0.04,0.05,0.05
b_1,0.1,0.13,0.1,0.12,0.93,0.13,0.09,0.1,0.06,,0.04,0.06,0.06,0.04,0.04,0.05
a_1,0.1,0.13,0.11,0.09,0.07,0.93,0.08,0.11,0.1,,0.06,0.07,0.09,,0.06,0.05
h_1,0.35,0.44,0.28,0.28,0.21,0.18,0.71,0.2,0.16,0.14,0.14,0.17,,0.12,0.13,0.17
d_0,0.38,0.33,0.62,,0.25,0.17,0.23,0.58,0.23,0.2,0.18,0.14,0.19,0.14,,0.19
c_0,0.46,0.49,,0.36,0.31,0.15,0.26,0.24,0.58,0.26,0.15,0.17,0.21,0.18,0.14,0.15
b_0,0.54,0.46,0.43,0.31,,,0.27,0.25,0.22,0.59,0.17,0.16,0.2,0.23,,0.2
g_1,0.3,0.34,0.28,0.43,0.29,0.23,0.25,0.21,0.22,0.2,0.71,0.19,0.16,,0.13,
f_0,0.31,,0.37,0.31,0.26,0.28,0.23,0.34,0.28,0.26,0.2,0.58,0.27,0.17,0.24,0.15
h_0,0.48,0.63,0.59,0.5,0.32,0.36,,0.32,0.35,0.29,0.28,0.2,,0.22,0.18,0.26
a_0,0.35,0.38,0.45,0.44,0.38,,0.26,0.31,0.23,0.22,,0.23,0.2,0.58,0.17,0.19
e_0,,0.56,0.32,0.37,0.38,0.28,0.3,,0.31,,0.23,0.21,0.29,0.18,0.58,0.16
g_0,0.48,0.45,0.56,0.6,0.52,0.31,0.34,0.3,0.39,0.22,,0.37,0.29,0.21,0.2,
