,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11509.82,1502.87,1783.6,1453.93,2169.73,13317.35,1227495.49,6237277.52,4591899.56,3061823.08,8194044.46,10650708.72,35166336.63,57601453.57,17028875.06,145497426.35
f_1,2271.86,13806.78,1843.59,1301.93,2401.09,12198.5,1186069.26,3826079.93,4240583.85,2682313.08,7598269.31,2458823.14,31792029.44,55208586.53,45401930.41,87947178.4
c_1,1144.86,1362.4,17400.15,1845.5,5485.9,8611.17,1526737.94,2708545.3,689859.46,3967377.49,7021968.93,8317954.51,27669964.48,46242264.09,97802469.1,124457007.15
d_1,948.57,1904.32,1281.23,20953.85,2573.07,12147.01,1664959.7,821448.8,8448137.09,4204734.54,7592314.41,10777837.4,28096927.6,56183170.55,50964305.75,125523547.09
b_1,1151.71,1051.25,1785.28,1883.83,32811.15,28329.97,1824097.68,4056551.58,4117655.83,2929652.45,1526237.24,9241035.97,27575945.69,45187862.21,56435890.47,125297068.61
a_1,1038.9,1611.08,1378.12,2190.92,2195.37,256551.74,1644091.51,2371993.78,4289867.01,2805521.19,8177640.7,11855427.3,,63041102.98,103302303.29,113005807.63
h_1,1684.42,2653.89,2409.5,4212.48,4908.7,28310.45,9831874.72,4144403.86,6126823.12,8825527.02,13756799.2,18687855.11,47428859.57,37258446.89,131126382.86,331077051.67
d_0,2167.63,2077.99,6237.91,884.08,4341.41,22263.95,2148025.5,14831409.88,6510754.14,4705174.97,16392512.26,18139717.19,53214756.39,100034527.08,139815463.27,202460675.82
c_0,1727.92,2576.73,1017.77,4037.07,5053.79,28826.54,2365582.51,6305517.53,19982633.43,7760122.96,26215969.59,21690089.47,58384648.77,86517936.57,181913056.26,277136661.85
g_1,1764.03,1714.57,2582.75,6501.9,4149.95,20204.91,2527338.76,5149819.69,7302788.53,31072922.21,15459815.13,26840382.09,48428759.04,85133276.19,112474812.08,103185351.67
b_0,1891.93,2293.79,2663.26,4397.83,1846.85,31922.86,2806250.34,6645568.56,7031019.32,8596637.91,41908017.17,16763865.76,127969996.58,87009094.14,163369997.05,245692841.19
f_0,1865.91,735.88,3827.78,4623.95,3987.15,20113.27,2944016.31,6699354.63,9182736.9,7106932.75,19430907.89,59296647.48,67336611.56,74376778.62,330960474.73,236651018.31
a_0,2450.51,3011.76,3330.89,2961.36,4943.93,,2565631.77,6847479.37,8779069.94,8183402.39,14388437.29,17925693.78,231382343.86,85286027.29,129971172.08,261427310.96
h_0,1742.36,3402.48,3029.95,3684.77,4154.36,23861.26,1340600.38,4816812.59,7448282.6,7390230.12,15871929.83,19882985.75,52126589.06,35036422.02,155013568.79,301369597.3
e_0,772.48,2082.77,4153.54,4480.9,5967.61,25101.11,1936800.45,7034529.78,7195394.58,6591539.74,17034154.3,21597297.65,67904351.61,113239776.94,644306806.54,255809605.24
g_0,1418.6,1894.2,2762.52,5951.19,4290.84,27248.97,2322794.2,5566689.22,8043161.14,3276496.36,15812807.06,27751629.63,46221180.28,103427734.08,151451871.56,110130124.45
