,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,10.93,0.68,0.65,0.62,2.03,0.77,0.9,0.83,0.8,0.43,1.01,0.47,1.04,0.94,0.78,0.93
f_1,0.67,11.05,0.73,1.68,0.58,0.56,0.85,0.8,0.95,0.85,0.48,0.97,0.81,0.55,1.0,0.76
d_1,0.54,0.83,13.56,0.64,0.58,0.57,1.09,1.0,0.58,2.91,1.14,1.7,1.09,1.21,1.06,1.07
e_1,0.96,0.67,0.57,12.74,0.67,0.62,0.85,0.98,2.86,0.75,0.96,0.98,0.98,0.66,0.97,1.09
b_1,0.69,0.63,0.68,0.6,11.81,1.97,0.89,0.84,0.78,0.81,0.88,0.63,1.04,0.94,0.69,0.9
a_1,0.83,0.86,0.62,0.55,0.62,18.55,0.94,1.08,0.94,1.05,1.2,1.0,1.04,1.36,0.84,0.91
h_1,0.77,1.18,0.93,0.72,0.61,0.72,2.9,1.41,0.83,1.04,1.16,1.18,0.77,0.94,1.17,1.46
g_1,0.67,0.7,2.01,0.58,0.66,0.65,1.34,3.67,0.78,1.24,2.3,1.05,0.91,1.36,0.99,0.9
d_0,2.39,0.78,0.5,0.76,0.93,0.72,0.95,0.97,2.04,0.57,1.12,0.81,0.88,0.9,1.05,1.05
c_0,0.68,0.91,1.06,0.78,0.47,0.62,1.31,1.1,1.01,2.45,1.15,3.74,1.23,1.31,1.51,1.32
f_0,0.81,0.56,1.11,0.56,0.79,0.88,1.26,1.2,0.88,1.16,2.43,1.22,1.21,3.3,1.18,1.26
b_0,0.78,1.03,0.91,0.81,0.44,0.52,1.26,1.02,1.05,1.14,0.86,2.3,1.33,1.1,3.37,1.27
h_0,0.8,1.11,0.95,0.76,0.61,0.72,0.75,1.54,0.91,0.97,1.24,1.11,0.76,1.16,1.29,1.53
e_0,0.87,1.07,0.93,0.48,0.78,1.01,1.39,1.26,0.75,0.84,1.18,1.03,1.35,3.16,1.11,1.3
a_0,0.73,0.82,1.11,0.79,0.76,0.44,1.34,1.23,0.92,0.99,0.9,1.05,1.11,1.16,2.78,1.25
g_0,0.83,0.59,1.75,0.58,0.73,0.49,0.92,0.84,0.84,1.27,2.0,1.3,1.2,1.41,1.25,1.09
