,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.1,0.17,0.11,0.11,0.06,0.06,0.04,0.06,0.06,0.06,,0.06,0.05,0.04,0.05
d_1,0.11,0.93,0.09,0.08,0.08,0.07,0.09,0.06,0.11,,0.07,0.06,0.06,0.05,0.05,0.03
e_1,0.1,0.08,0.93,0.11,0.09,,0.06,0.06,0.07,0.12,0.05,0.08,0.06,0.05,,0.05
c_1,0.13,0.13,0.09,0.93,0.15,0.05,0.07,0.06,,0.06,0.06,0.06,0.07,0.04,0.04,0.06
b_1,0.1,0.12,0.12,0.09,0.93,0.12,0.07,0.06,0.06,0.07,,0.05,0.06,0.06,0.06,0.07
a_1,0.1,0.12,,0.15,0.1,0.93,0.09,0.07,0.09,0.05,0.06,0.09,0.1,,0.05,
h_1,0.36,0.25,0.3,0.3,0.21,0.18,0.71,0.23,0.22,0.16,0.14,0.2,,0.14,0.11,0.21
g_1,0.25,0.45,0.27,0.32,0.27,0.21,0.13,0.71,0.18,0.22,0.17,0.23,0.16,0.13,0.12,
c_0,0.42,0.33,0.32,,0.26,0.16,0.22,0.23,0.58,0.25,0.27,0.26,0.23,0.15,0.13,0.17
d_0,0.36,,0.29,0.53,0.31,0.32,0.27,0.2,0.19,0.58,0.28,0.19,0.18,0.17,0.11,0.14
b_0,0.38,0.35,0.39,0.27,,0.24,0.3,0.21,0.22,0.2,0.58,0.16,0.27,0.31,0.14,0.15
f_0,,0.38,0.29,0.38,0.36,0.2,0.15,0.18,0.2,0.3,0.25,0.57,0.25,0.19,0.35,0.18
h_0,0.58,0.55,0.49,0.36,0.44,0.29,,0.35,0.28,0.35,0.24,0.26,,0.14,0.2,0.34
a_0,0.41,0.4,0.46,0.43,0.26,,0.23,0.24,0.28,0.19,0.14,0.19,0.25,0.61,,0.18
e_0,0.48,0.4,,0.34,0.28,0.29,0.3,0.27,0.3,0.36,0.26,0.13,0.23,,0.59,0.17
g_0,0.5,0.76,0.51,0.43,0.39,,0.22,,0.37,0.3,0.37,0.4,0.21,0.21,0.24,
