,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,15.48,0.58,0.57,0.68,0.5,0.6,0.87,1.9,0.7,0.8,0.97,0.96,1.04,0.74,1.07,0.47
f_1,1.2,15.72,0.58,0.51,0.46,0.39,0.81,0.86,0.8,0.88,1.04,0.37,1.08,0.85,0.85,0.63
d_1,0.56,0.63,19.48,0.41,0.46,0.49,0.92,0.3,1.23,2.23,0.98,0.98,0.94,1.23,0.94,0.89
c_1,0.41,0.55,0.46,18.7,1.43,0.55,0.91,0.98,0.81,0.4,0.74,0.83,0.9,0.96,0.82,0.99
b_1,0.44,0.49,0.56,0.62,21.1,1.45,0.86,0.9,0.75,0.8,0.4,1.03,0.69,0.71,0.72,1.22
a_1,0.57,0.72,0.49,0.65,0.57,29.24,0.85,0.88,0.81,0.72,0.72,0.9,0.94,0.36,1.05,0.9
h_1,0.67,1.14,0.82,0.6,0.59,0.78,5.33,1.11,1.47,1.21,1.3,1.27,0.7,0.93,2.02,1.28
d_0,0.68,0.75,0.33,2.35,0.82,0.58,1.09,2.83,0.95,0.62,1.1,1.12,1.35,1.36,1.16,1.23
g_1,0.56,0.63,1.54,0.67,0.64,0.49,1.02,0.95,7.06,1.18,1.28,2.06,1.24,1.43,0.63,1.35
c_0,0.7,0.85,0.84,0.46,0.43,0.74,1.52,0.83,1.21,3.43,3.38,1.44,1.58,1.6,1.57,1.51
b_0,0.77,0.73,0.9,0.78,0.33,0.63,1.23,1.36,1.07,1.16,3.94,1.68,1.46,3.53,1.55,1.46
f_0,0.53,0.46,0.76,0.84,0.91,0.74,1.37,1.26,1.27,1.05,1.35,3.92,1.32,1.33,1.65,3.2
h_0,0.69,1.14,0.86,0.76,0.65,0.49,0.62,1.03,1.7,1.04,1.41,1.35,0.65,1.12,1.56,1.16
a_0,0.73,0.88,0.85,0.84,0.71,0.23,1.24,1.07,1.3,1.09,1.43,1.43,1.8,4.7,1.18,1.21
g_0,0.63,0.52,1.59,0.84,0.7,0.72,0.95,1.0,0.65,0.89,1.16,2.35,1.14,1.13,0.87,1.74
e_0,0.28,0.77,0.87,1.19,0.85,0.93,1.09,0.96,1.06,1.02,1.38,1.4,1.41,1.08,1.07,4.98
