,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.55,1.03,1.31,1.62,3.03,18.59,32.28,30.26,32.94,37.09,,81.23,97.44,100.91,112.49
e_1,0.65,1.0,1.11,1.35,1.38,2.62,18.14,21.33,30.74,42.81,29.21,44.05,74.65,74.53,118.44,
d_1,0.98,0.9,1.0,1.03,1.44,3.0,18.37,25.14,35.9,,41.36,40.68,74.9,82.13,76.97,84.11
c_1,0.76,0.74,0.97,1.0,1.42,2.43,14.72,15.04,,20.42,26.01,40.51,48.12,,88.73,68.64
b_1,0.62,0.73,0.69,0.7,1.0,2.76,15.39,14.35,19.06,18.84,,28.48,49.74,59.47,64.7,72.21
a_1,0.33,0.38,0.33,0.41,0.36,1.0,5.85,7.69,7.3,7.62,13.52,14.31,32.93,,30.63,
h_1,0.05,0.06,0.05,0.07,0.06,0.17,1.0,1.38,1.59,1.6,2.37,2.06,,4.51,6.18,4.61
g_1,0.03,0.05,0.04,0.07,0.07,0.13,0.72,1.0,1.19,1.12,1.51,2.18,2.27,2.37,,
c_0,0.03,0.03,0.03,,0.05,0.14,0.63,0.84,1.0,1.57,1.84,1.99,2.66,2.71,4.11,2.8
d_0,0.03,0.02,,0.05,0.05,0.13,0.62,0.9,0.64,1.0,1.16,1.26,2.59,2.76,2.82,2.96
b_0,0.03,0.03,0.02,0.04,,0.07,0.42,0.66,0.54,0.86,1.0,0.94,1.62,3.84,3.07,2.86
f_0,,0.02,0.02,0.02,0.04,0.07,0.49,0.46,0.5,0.79,1.06,1.0,1.66,1.8,1.75,3.22
h_0,0.01,0.01,0.01,0.02,0.02,0.03,,0.44,0.38,0.39,0.62,0.6,,1.27,1.68,
a_0,0.01,0.01,0.01,,0.02,,0.22,0.42,0.37,0.36,0.26,0.55,0.79,1.0,1.15,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,,0.24,0.36,0.33,0.57,0.59,0.87,,
e_0,0.01,,0.01,0.01,0.01,,0.22,,0.36,0.34,0.35,0.31,,,,1.0
