,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.41,0.96,0.89,0.85,0.83,0.86,0.45,0.33,0.62,0.44,0.4,0.38,0.34,0.43,0.25,0.36
f_1,0.8,0.41,0.99,0.96,0.87,0.81,0.36,0.52,0.4,0.36,0.33,0.51,0.23,0.33,0.41,0.3
e_1,1.04,0.57,0.41,0.99,0.9,0.92,0.55,0.51,0.48,0.44,0.46,0.44,0.35,0.39,0.33,0.54
c_1,1.05,0.85,0.79,0.37,0.99,0.82,0.48,0.44,0.26,0.45,0.34,0.44,0.39,0.34,0.31,0.41
b_1,0.88,1.01,0.83,0.57,0.36,1.08,0.48,0.49,0.4,0.41,0.71,0.42,0.35,0.53,0.39,0.41
a_1,0.78,1.13,0.89,1.01,0.55,0.3,0.6,0.66,0.46,0.41,0.49,0.39,0.4,0.75,0.43,0.46
h_1,0.84,0.83,0.71,0.75,0.85,0.69,0.25,0.48,0.33,0.29,0.34,0.33,0.44,0.34,0.34,0.36
g_1,0.83,0.79,0.84,0.79,0.86,0.65,0.32,0.23,0.37,0.37,0.36,0.39,0.25,0.35,0.32,0.35
d_0,0.97,0.83,0.49,0.98,0.86,0.77,0.42,0.46,0.26,0.34,0.4,0.31,0.35,0.3,0.33,0.4
c_0,0.47,0.91,0.74,1.5,0.88,0.8,0.5,0.45,0.46,0.26,0.44,0.36,0.33,0.35,0.28,0.38
b_0,0.69,0.89,0.77,1.12,1.0,0.67,0.44,0.42,0.33,0.21,0.24,0.32,0.29,0.37,0.29,0.3
f_0,0.69,1.23,0.78,0.72,0.72,0.76,0.46,0.31,0.38,0.36,0.41,0.23,0.33,0.36,0.22,0.5
h_0,0.71,0.86,0.82,0.68,0.79,0.67,0.5,0.44,0.34,0.33,0.32,0.34,0.4,0.31,0.32,0.28
a_0,0.72,0.87,0.81,0.79,0.78,0.97,0.4,0.52,0.43,0.32,0.25,0.28,0.3,0.21,0.29,0.36
g_0,0.82,0.72,0.79,0.92,0.71,0.67,0.33,0.76,0.35,0.38,0.34,0.37,0.24,0.35,0.35,0.39
e_0,0.71,1.17,1.15,0.8,0.78,0.69,0.38,0.39,0.29,0.28,0.43,0.17,0.36,0.35,0.26,0.2
