,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.0,2.14,2.13,2.09,1.99,0.47,0.46,0.64,0.43,0.44,0.55,0.23,0.42,0.46,0.34
e_1,1.58,1.09,2.5,2.43,2.75,2.57,0.68,0.57,0.75,0.51,0.48,0.63,0.31,0.49,0.68,0.38
c_1,2.66,2.07,1.1,2.95,2.48,2.44,0.75,0.33,0.69,0.67,0.5,0.49,0.41,0.5,0.44,0.37
d_1,3.13,2.95,2.8,1.09,2.54,2.28,0.69,0.74,0.51,0.52,0.55,0.54,0.34,0.54,0.44,0.25
b_1,3.39,3.26,1.85,3.36,1.11,3.1,0.93,0.63,0.81,0.79,0.9,0.59,0.49,0.59,0.54,0.4
a_1,5.82,4.54,4.3,4.25,2.31,1.11,1.33,0.98,1.31,1.13,1.29,0.93,0.7,1.23,0.79,0.65
h_1,8.71,8.91,9.84,8.81,8.66,7.74,1.57,2.16,2.41,1.83,1.8,1.69,1.59,1.83,1.8,1.34
d_0,10.81,7.51,13.79,14.7,12.91,12.3,3.54,1.88,4.16,2.47,2.41,2.36,1.94,2.48,2.86,1.79
g_1,14.1,11.69,13.03,11.96,11.82,10.37,3.03,2.59,1.63,2.56,2.5,2.2,1.37,2.59,1.89,2.3
c_0,12.92,12.73,19.5,7.51,13.6,12.78,3.45,3.61,3.19,1.85,2.72,2.88,2.23,2.58,2.34,1.8
b_0,13.46,13.15,17.63,10.74,17.88,12.7,3.63,2.88,3.63,1.55,1.83,2.71,2.04,3.18,2.59,1.87
f_0,19.74,14.71,16.24,16.91,14.02,14.78,4.66,3.35,2.87,3.35,2.91,1.95,2.29,3.47,3.32,1.49
h_0,20.59,17.94,17.26,17.1,16.7,18.01,6.26,3.63,4.75,3.52,3.6,3.06,3.67,3.36,3.09,2.51
a_0,18.33,18.79,20.99,18.18,21.45,21.53,4.87,3.65,4.61,2.87,2.15,3.2,2.91,2.01,3.23,2.8
e_0,24.21,23.93,27.47,21.7,21.45,17.23,5.29,4.0,5.1,4.11,3.95,2.19,3.04,4.46,2.31,2.21
g_0,21.75,23.46,23.38,22.15,22.31,20.01,5.01,5.2,7.44,5.0,5.16,4.74,2.85,4.71,4.38,3.98
