,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.39,0.22,0.2,0.17,0.09,0.17,0.18,0.14,0.18,0.16,0.07,0.2,0.12,0.14,0.07
e_1,0.26,0.9,0.19,0.24,0.17,0.12,0.18,0.37,0.15,0.18,0.2,0.19,0.2,0.11,0.17,0.07
d_1,0.29,0.22,0.9,0.15,0.18,0.11,0.19,0.08,0.16,0.37,0.21,0.17,0.19,0.15,0.15,0.12
c_1,0.23,0.21,0.21,0.89,0.35,0.11,0.18,0.16,0.14,0.07,0.13,0.19,0.17,0.12,0.15,0.1
b_1,0.22,0.21,0.19,0.23,0.88,0.26,0.19,0.2,0.14,0.16,0.08,0.15,0.14,0.08,0.15,0.11
a_1,0.25,0.24,0.22,0.23,0.15,0.88,0.27,0.21,0.16,0.16,0.21,0.14,0.21,0.07,0.13,0.11
h_1,0.38,0.26,0.31,0.27,0.2,0.12,0.57,0.18,0.24,0.18,0.22,0.17,0.15,0.12,0.25,0.13
d_0,0.26,0.23,0.13,0.53,0.27,0.17,0.25,0.45,0.15,0.15,0.22,0.21,0.19,0.11,0.22,0.18
g_1,0.29,0.26,0.45,0.2,0.21,0.11,0.2,0.2,0.55,0.27,0.21,0.35,0.26,0.16,0.12,0.13
c_0,0.32,0.32,0.29,0.18,0.17,0.15,0.21,0.22,0.19,0.45,0.46,0.24,0.28,0.17,0.2,0.14
b_0,0.3,0.29,0.33,0.28,0.13,0.12,0.25,0.22,0.18,0.25,0.43,0.19,0.27,0.3,0.19,0.16
f_0,0.19,0.21,0.31,0.29,0.26,0.14,0.25,0.28,0.2,0.25,0.28,0.44,0.26,0.18,0.18,0.33
h_0,0.41,0.29,0.31,0.23,0.22,0.12,0.14,0.21,0.23,0.22,0.23,0.18,0.13,0.15,0.24,0.13
a_0,0.27,0.31,0.33,0.28,0.24,0.11,0.27,0.22,0.19,0.19,0.22,0.2,0.22,0.36,0.24,0.11
g_0,0.25,0.23,0.43,0.31,0.19,0.13,0.25,0.23,0.12,0.21,0.24,0.33,0.19,0.14,0.14,0.15
e_0,0.29,0.14,0.27,0.32,0.27,0.17,0.24,0.24,0.18,0.22,0.28,0.24,0.32,0.15,0.22,0.38
