,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.76,1.14,0.99,0.91,0.74,0.73,0.97,0.68,0.74,0.72,0.64,0.6,0.64,0.58
d_1,1.12,1.0,1.12,0.87,0.92,0.84,0.75,0.56,0.62,0.82,0.68,0.61,0.52,0.64,0.52,0.49
f_1,1.33,0.9,1.0,0.94,0.94,0.81,0.54,0.65,0.63,0.63,0.62,0.62,0.53,0.57,0.47,0.61
c_1,0.88,1.17,1.05,1.0,1.33,0.76,0.67,0.69,0.47,0.57,0.52,0.52,0.6,0.55,0.53,0.53
b_1,1.0,1.05,1.08,0.76,1.0,1.28,0.9,0.75,0.69,0.76,0.6,0.66,0.61,0.51,0.6,0.59
a_1,1.09,1.24,1.21,1.32,0.79,1.0,0.82,0.98,0.84,0.75,0.86,0.8,0.81,0.67,0.74,0.67
h_1,1.3,1.36,1.79,1.51,1.15,1.22,1.0,1.17,0.92,0.91,0.96,0.87,0.92,0.76,0.76,0.9
g_1,1.45,1.8,1.49,1.42,1.31,1.07,0.84,1.0,0.83,0.98,0.88,1.07,0.77,0.76,0.87,0.74
d_0,1.07,1.66,1.55,2.11,1.45,1.16,1.11,1.23,1.0,0.89,1.03,0.89,0.9,0.87,0.9,0.81
c_0,1.48,1.23,1.57,1.62,1.32,1.28,1.08,1.03,1.17,1.0,1.4,1.13,0.98,0.98,0.93,0.85
b_0,1.32,1.43,1.56,1.93,1.69,1.21,1.04,1.15,1.01,0.68,1.0,1.04,0.9,1.16,0.91,0.85
f_0,1.41,1.6,1.69,1.9,1.41,1.19,1.19,0.96,1.1,0.94,0.95,1.0,1.01,0.84,1.33,0.69
h_0,1.62,1.9,1.96,1.64,1.54,1.24,1.09,1.28,1.06,1.02,1.1,0.96,1.0,0.95,0.88,1.03
a_0,1.67,1.61,1.75,1.75,2.06,1.35,1.35,1.37,1.12,0.97,0.86,1.18,1.07,1.0,1.03,0.9
e_0,1.58,1.89,2.13,1.86,1.68,1.27,1.34,1.12,1.15,1.17,1.15,0.76,1.1,0.99,1.0,0.89
g_0,1.73,2.15,1.67,1.81,1.61,1.55,1.08,1.36,1.19,1.16,1.19,1.4,0.96,1.09,1.11,1.0
