,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.16,16.54,14.65,10.06,10.56,2.74,3.0,2.44,2.35,2.13,2.14,1.7,1.88,11.09,1.62
f_1,12.31,1.14,9.87,11.81,10.7,12.32,2.32,4.8,1.84,1.81,2.61,6.16,1.0,2.37,1.86,1.93
d_1,14.32,14.18,1.14,13.85,13.85,10.79,4.36,1.84,1.92,9.64,2.08,2.52,1.65,2.52,2.12,1.18
c_1,11.15,13.54,17.33,1.14,13.72,13.22,3.41,4.59,9.1,1.36,2.99,2.47,1.78,2.85,2.31,1.93
b_1,11.91,12.04,18.2,7.5,1.14,19.76,4.69,5.21,4.46,3.55,10.44,3.28,3.4,3.27,2.65,1.96
a_1,22.64,23.45,15.3,20.87,11.73,1.15,5.9,6.13,4.78,5.09,5.51,4.61,4.03,21.55,4.77,3.9
h_1,27.37,29.65,26.49,28.21,33.25,20.16,1.94,9.24,5.49,5.57,5.89,6.67,12.75,6.16,4.83,4.96
g_1,28.43,38.58,26.27,26.5,37.18,35.02,6.91,1.9,6.85,6.73,6.84,8.86,3.64,6.73,7.25,9.13
c_0,38.2,39.0,16.13,121.88,31.05,36.29,9.44,10.74,2.69,10.77,6.84,6.16,6.46,6.34,7.11,4.69
d_0,20.15,39.87,101.81,31.74,30.39,39.14,12.34,11.06,8.1,2.85,6.47,6.59,5.67,7.84,6.28,6.8
b_0,35.95,41.72,32.58,41.18,108.69,26.26,11.62,9.36,4.18,8.5,2.53,7.66,4.73,7.56,7.85,4.34
f_0,35.6,128.14,33.94,41.74,40.96,35.64,9.9,5.21,6.04,7.34,8.15,2.51,6.65,8.98,10.19,4.18
h_0,45.27,50.54,44.03,49.15,57.67,45.36,32.08,15.21,9.35,8.97,11.44,8.46,14.34,9.58,8.2,6.2
a_0,47.62,60.81,37.45,70.86,58.88,,12.34,23.55,8.85,15.02,4.8,9.61,5.1,2.61,13.96,6.94
e_0,174.62,87.51,57.16,42.32,46.33,55.44,20.56,17.38,11.86,10.95,17.5,7.0,6.85,15.39,2.79,6.43
g_0,53.14,79.73,47.22,70.86,80.74,76.77,12.53,42.94,13.02,13.74,12.66,11.34,6.75,10.51,13.46,20.41
