,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.85,2.31,1.38,1.43,1.04,1.11,3.14,5.82,5.55,3.08,5.78,2.31,9.31,6.3,3.54,7.41
e_1,1.48,5.88,1.14,1.53,1.2,1.1,5.01,10.66,5.0,4.69,6.13,6.05,8.83,7.69,2.98,9.14
d_1,1.59,1.07,6.57,1.19,1.24,1.31,4.4,2.34,12.01,5.01,7.87,7.07,9.9,6.42,7.39,8.91
c_1,1.4,1.26,1.09,6.65,2.37,1.0,4.61,5.32,2.58,4.33,4.23,5.95,8.15,5.73,7.23,7.84
b_1,1.12,1.04,1.33,1.23,6.96,2.92,5.0,6.26,5.21,5.49,2.86,6.16,9.51,5.2,5.49,8.24
a_1,1.29,1.05,1.52,1.09,1.45,10.0,6.05,6.34,6.25,5.27,7.12,7.42,10.11,2.7,7.44,12.41
h_1,2.21,1.42,1.88,1.47,1.33,1.1,17.34,7.03,7.58,7.94,7.57,6.87,6.29,7.83,8.37,15.59
d_0,1.66,1.72,0.96,2.99,1.58,1.28,6.99,15.21,3.85,5.43,6.82,7.83,12.28,7.61,7.59,11.05
c_0,1.97,1.67,1.71,0.88,1.29,1.74,6.31,7.6,15.5,5.64,15.53,7.43,12.0,9.48,8.74,13.13
g_1,1.1,1.43,2.72,1.62,1.35,1.31,5.46,6.94,5.95,22.27,7.58,12.8,12.69,8.69,9.04,8.0
b_0,2.04,1.94,1.69,1.77,0.62,1.27,5.31,6.89,7.47,6.67,19.04,8.73,11.26,18.54,10.42,12.93
f_0,0.98,1.22,2.03,1.73,1.73,1.44,6.29,6.95,8.19,6.44,9.1,21.1,13.29,9.21,19.83,11.88
h_0,2.17,1.7,1.77,1.47,1.58,1.6,3.52,7.76,8.06,7.92,7.9,7.75,5.6,6.65,7.25,15.67
a_0,1.63,1.43,2.08,1.96,1.33,0.6,6.05,7.2,8.43,6.64,10.17,9.8,12.96,25.35,6.16,14.73
e_0,1.65,0.84,2.02,1.94,1.88,1.62,7.2,6.05,9.17,6.11,8.6,7.84,15.71,7.39,28.03,11.4
g_0,1.35,1.5,2.69,1.47,1.61,1.46,6.08,6.61,6.9,4.0,7.43,14.06,10.21,9.32,8.99,7.87
