,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.91,1.34,1.47,1.42,1.33,0.72,0.56,0.52,0.58,0.55,0.63,0.46,0.46,0.59,0.92
f_1,1.48,0.67,1.31,1.29,1.16,1.17,0.49,0.5,0.47,0.72,0.49,0.76,0.3,0.48,0.44,0.36
d_1,1.71,1.48,0.64,1.35,1.33,1.28,0.67,0.7,0.57,0.45,0.49,0.48,0.43,0.41,0.28,0.48
c_1,1.28,1.67,1.75,0.63,1.82,1.2,0.68,0.34,0.69,0.6,0.49,0.47,0.38,0.55,0.41,0.42
b_1,1.57,1.72,1.86,1.0,0.62,1.77,0.72,0.61,0.72,0.8,0.76,0.46,0.56,0.48,0.43,0.53
a_1,1.91,1.9,1.86,2.16,1.04,0.57,0.79,0.8,0.64,0.95,0.8,0.62,0.52,1.27,0.57,0.54
h_1,1.95,2.41,1.92,2.11,2.09,1.73,0.59,0.84,0.7,1.06,0.78,0.78,1.02,0.66,0.72,0.71
d_0,1.52,2.5,3.67,2.77,2.28,2.09,1.05,0.65,0.86,1.07,0.96,0.91,0.73,0.73,0.75,0.77
c_0,2.42,2.66,1.37,4.65,2.18,2.53,1.24,1.13,0.63,0.95,1.06,0.9,0.77,0.95,0.7,0.89
g_1,2.57,2.78,2.3,2.61,2.49,2.04,0.83,0.99,0.93,0.53,0.92,0.9,0.53,0.83,0.94,0.95
b_0,2.1,2.49,2.31,3.52,3.94,2.23,1.17,0.9,0.53,1.07,0.6,0.77,0.67,0.91,0.69,1.04
f_0,2.32,3.83,2.27,2.6,3.17,2.77,1.19,0.98,0.83,0.76,0.88,0.6,0.9,0.86,0.48,0.92
h_0,2.38,3.46,2.47,3.13,2.56,2.52,1.4,1.02,0.92,1.39,1.03,0.87,1.12,0.83,0.84,0.88
a_0,2.67,3.12,3.17,2.75,3.68,3.55,1.54,1.26,0.96,1.41,0.65,1.03,1.0,0.57,0.75,1.15
g_0,2.82,3.38,3.04,2.97,3.33,2.54,1.05,1.07,1.03,2.1,1.12,1.07,0.73,1.31,1.02,1.16
e_0,3.51,4.59,2.69,2.83,3.2,2.52,1.41,1.13,1.14,1.17,1.04,0.6,0.85,1.06,0.66,0.56
