,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,39.8,101.24,70.98,109.22,68.67,27.87,15.91,28.7,18.94,20.2,20.56,8.61,15.96,,15.37
f_1,95.57,1.15,90.58,90.94,93.04,103.0,14.41,22.58,26.4,14.98,18.36,,7.2,19.59,17.0,12.3
d_1,100.61,78.74,1.15,90.94,78.5,89.57,24.59,26.92,20.0,,18.94,19.82,11.86,14.86,23.0,7.38
c_1,123.32,109.76,80.05,1.15,104.67,103.0,30.96,,28.7,12.15,27.55,19.82,15.14,28.73,24.44,14.76
b_1,127.43,164.64,143.42,61.91,1.15,128.75,38.0,26.92,25.38,25.76,,23.12,16.26,28.73,27.93,21.71
a_1,141.59,134.15,149.65,161.67,93.04,1.15,46.44,33.33,34.74,33.89,35.65,25.23,33.77,,,26.36
h_1,100.61,109.76,88.26,100.34,73.88,98.1,2.0,15.91,26.4,25.76,18.94,21.35,,18.74,13.48,18.45
c_0,86.89,78.74,50.62,,132.21,85.83,23.89,2.95,24.44,17.41,16.38,19.14,19.95,18.74,17.0,12.72
g_1,182.05,241.47,137.68,97.0,157.0,114.44,22.0,25.93,2.0,25.76,20.2,20.56,14.16,,23.0,
d_0,46.62,109.76,,153.16,96.62,158.46,22.59,31.82,28.7,3.04,18.94,14.61,12.91,15.96,24.44,12.3
b_0,123.32,113.19,122.93,126.52,,114.44,28.83,11.11,22.76,15.33,3.03,26.43,13.72,25.35,24.44,14.76
f_0,147.04,,122.93,88.18,89.71,103.0,28.83,20.0,23.57,26.83,23.31,2.98,13.3,30.79,24.44,12.72
h_0,91.02,100.61,93.03,103.93,76.12,108.42,,17.95,31.43,16.51,23.31,18.5,,14.37,15.64,10.85
a_0,173.77,144.88,143.42,207.86,209.33,,44.0,25.93,,40.25,14.09,39.64,31.36,2.87,30.08,15.37
e_0,,190.63,156.45,194.0,167.47,,49.18,30.43,47.14,42.93,35.65,17.9,25.82,30.79,2.83,20.5
g_0,106.19,144.88,143.42,100.34,132.21,128.75,33.44,20.0,,18.4,20.9,23.12,11.55,28.73,20.58,
