,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.53,0.92,0.77,1.05,0.82,0.68,1.04,1.65,1.01,0.93,1.06,1.04,1.07,0.91,0.82,1.11
f_1,1.29,1.53,0.8,0.92,0.77,0.73,0.81,1.07,0.93,0.93,0.96,0.74,1.03,0.77,0.67,1.0
d_1,0.91,1.02,1.57,0.76,0.88,0.75,1.04,0.84,0.95,1.61,1.14,1.04,1.25,0.98,0.99,0.97
c_1,0.84,0.86,1.0,1.56,1.26,0.69,1.06,0.89,0.95,0.78,0.85,1.01,1.23,0.88,0.94,0.95
b_1,0.91,0.93,0.95,0.87,1.62,1.24,1.06,1.06,0.86,1.09,0.9,0.95,1.06,0.76,0.92,1.14
a_1,0.97,1.05,1.11,0.97,0.79,1.76,1.27,1.3,1.08,1.11,1.33,1.18,1.3,0.81,0.94,1.22
h_1,1.16,1.58,1.17,1.04,0.9,0.85,1.82,1.31,1.36,1.11,1.34,1.1,1.34,1.17,0.95,1.49
d_0,1.09,1.24,0.94,1.8,1.05,0.87,1.39,1.71,1.19,1.0,1.27,1.3,1.41,0.99,1.06,1.39
g_1,1.06,1.1,1.55,1.12,1.19,0.87,1.29,1.3,1.9,1.22,1.2,1.81,1.35,1.22,1.19,1.22
c_0,1.27,1.41,1.14,1.01,0.91,0.91,1.53,1.47,1.22,1.81,2.18,1.45,1.44,1.35,1.4,1.4
b_0,1.22,1.43,1.16,1.33,0.84,0.82,1.41,1.45,1.37,1.12,1.75,1.27,1.59,2.08,1.2,1.35
f_0,1.1,1.22,1.37,1.15,1.09,0.92,1.66,1.43,1.17,1.27,1.54,1.84,1.47,1.41,2.1,1.38
h_0,1.14,1.52,1.29,1.16,1.17,0.94,1.24,1.36,1.62,1.43,1.49,1.46,1.35,1.19,1.22,1.71
a_0,1.22,1.42,1.32,1.24,1.09,0.94,1.61,1.53,1.62,1.43,1.29,1.37,1.73,1.9,1.38,1.61
e_0,1.01,1.62,1.27,1.34,1.21,0.99,1.78,1.53,1.25,1.32,1.54,1.26,1.91,1.33,1.87,1.57
g_0,1.12,1.08,1.69,1.36,1.14,1.01,1.48,1.3,1.13,1.35,1.64,1.94,1.53,1.17,1.37,1.43
