,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.15,48.59,89.03,90.47,78.69,86.95,31.31,14.89,14.81,24.4,14.86,20.36,16.83,14.67,,13.2
f_1,95.87,1.15,78.43,98.7,85.25,95.65,16.61,14.89,19.3,30.5,16.72,,16.83,8.8,15.55,11.0
c_1,75.9,107.48,1.15,116.32,74.85,79.71,29.07,11.11,,23.46,20.58,18.85,16.83,11.31,22.8,15.0
d_1,113.84,104.32,76.6,1.15,80.76,173.91,26.26,,15.92,16.05,17.83,23.14,20.2,13.66,13.15,8.05
b_1,101.19,107.48,53.13,95.79,1.15,159.42,24.67,18.42,24.5,30.5,,20.36,26.93,12.77,21.38,12.69
a_1,140.12,154.22,164.7,180.94,118.04,1.15,37.0,28.0,35.39,46.92,33.44,36.36,,24.75,,27.5
h_1,84.72,107.48,122.0,75.74,99.0,70.85,2.0,22.58,21.97,27.73,20.58,21.21,19.24,,13.68,13.2
d_0,51.31,78.82,91.5,,95.91,70.85,22.61,2.81,23.59,32.11,25.48,16.97,13.03,12.38,13.68,17.37
c_0,117.52,86.51,,69.3,102.3,127.53,22.61,18.42,3.05,27.73,17.26,20.36,12.24,13.2,15.55,12.22
g_1,242.87,208.65,156.86,125.27,127.88,136.64,20.87,36.84,20.55,2.0,23.26,28.28,26.93,12.0,,
b_0,134.93,141.88,164.7,105.06,,119.56,33.92,28.0,10.11,27.73,2.91,19.58,31.08,15.84,,16.5
f_0,93.41,,109.8,108.57,161.53,173.91,38.76,25.93,23.59,21.79,28.16,2.84,36.73,18.0,31.09,9.43
a_0,173.48,154.22,156.86,141.61,191.81,,45.22,36.84,25.48,38.12,15.29,26.79,3.11,,,17.37
h_0,113.84,107.48,96.88,77.55,87.69,86.95,,22.58,20.55,26.52,23.26,15.42,,,20.12,16.5
e_0,,154.22,143.22,148.05,279.0,,45.22,33.33,42.47,,,21.21,,18.0,3.05,
g_0,134.93,101.34,137.25,148.05,105.83,83.17,31.31,35.0,33.53,,21.4,28.28,33.67,10.15,,
