,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.28,0.63,0.96,0.49,0.59,0.66,0.98,2.58,0.96,1.0,1.11,1.12,0.88,1.11,0.81,0.91
f_1,1.62,13.21,0.55,0.71,0.5,0.56,0.81,0.82,0.92,0.87,0.93,0.45,0.95,1.09,0.61,0.93
c_1,0.51,0.61,13.56,0.59,1.72,0.61,0.81,0.81,0.4,0.72,0.54,0.97,0.92,0.94,0.87,0.98
d_1,0.68,0.65,0.49,14.56,0.76,0.6,0.92,0.46,2.22,0.96,1.3,1.03,1.0,0.76,1.01,0.92
b_1,0.54,0.76,0.59,0.68,15.05,1.61,0.95,0.77,1.01,0.85,0.55,0.92,0.96,0.65,0.89,0.96
a_1,0.65,0.74,0.65,0.77,0.45,20.94,1.11,1.01,0.79,1.0,0.94,1.13,1.06,0.59,1.21,0.95
h_1,0.66,1.21,0.82,0.8,0.63,0.58,3.84,0.88,0.91,1.6,1.0,1.04,0.84,1.05,1.25,1.54
d_0,0.67,0.7,2.36,0.44,0.74,0.68,0.92,2.26,0.69,0.93,1.02,1.18,1.25,1.04,1.13,1.16
c_0,0.71,1.06,0.6,0.92,0.38,0.8,1.1,1.12,2.31,1.03,3.42,0.9,1.36,1.57,1.28,1.24
g_1,0.61,0.55,0.76,1.92,0.57,0.71,0.91,0.82,1.0,4.43,1.1,2.08,1.0,0.9,1.19,0.82
b_0,0.68,0.79,1.02,0.85,0.44,0.52,1.17,1.11,1.05,1.1,3.28,1.03,1.34,3.32,1.19,1.3
f_0,0.54,0.54,0.93,0.9,0.88,0.76,1.18,1.12,0.99,1.14,1.23,2.97,1.32,1.18,3.16,1.07
h_0,0.55,1.23,0.86,0.88,0.72,0.6,0.73,0.94,0.89,1.33,1.18,0.94,0.88,1.29,1.13,1.71
a_0,0.66,0.95,0.78,0.94,0.72,0.47,1.21,0.99,0.96,1.23,1.02,1.04,1.79,3.22,1.18,1.29
e_0,0.43,0.96,0.79,0.92,0.68,0.79,1.53,0.94,1.08,1.2,1.36,1.13,1.2,1.39,3.35,1.3
g_0,0.53,0.62,0.76,1.46,0.83,0.63,1.17,0.76,1.09,0.97,1.04,2.18,1.06,1.5,1.53,0.96
