,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.96,1.14,0.94,0.78,0.72,0.73,0.66,0.84,0.67,0.65,0.59,0.6,0.55,0.58
f_1,1.24,1.0,0.95,1.03,0.87,0.81,0.62,0.64,0.6,0.66,0.55,0.59,0.55,0.49,0.46,0.55
d_1,1.04,1.07,1.0,0.85,0.93,0.87,0.74,0.6,0.81,0.62,0.62,0.7,0.59,0.56,0.63,0.49
c_1,0.88,1.0,1.17,1.0,1.28,0.9,0.75,0.7,0.56,0.49,0.63,0.52,0.59,0.62,0.62,0.56
b_1,1.04,1.14,1.08,0.78,1.0,1.28,0.76,0.73,0.75,0.62,0.71,0.63,0.58,0.66,0.57,0.62
a_1,1.25,1.22,1.15,1.09,0.77,1.0,0.89,0.89,0.77,0.9,0.76,0.89,0.72,0.78,0.8,0.72
h_1,1.37,1.59,1.34,1.34,1.31,1.13,1.0,1.13,0.84,0.87,0.85,0.88,0.79,0.86,0.77,0.87
g_1,1.38,1.56,1.68,1.42,1.38,1.1,0.87,1.0,0.93,0.87,1.07,0.83,0.81,0.81,0.86,0.83
c_0,1.56,1.67,1.27,1.71,1.37,1.25,1.14,1.07,1.0,1.14,0.97,1.34,1.05,0.96,0.98,0.9
d_0,1.23,1.52,1.58,1.99,1.57,1.17,1.12,1.12,0.9,1.0,0.9,0.91,0.93,1.0,0.96,0.88
f_0,1.46,1.76,1.55,1.64,1.38,1.28,1.15,0.9,1.06,1.13,1.0,1.02,0.99,0.92,1.23,0.81
b_0,1.58,1.78,1.42,1.89,1.55,1.15,1.08,1.15,0.79,1.1,0.99,1.0,1.23,1.03,0.86,0.95
a_0,1.66,1.76,1.69,1.65,1.84,1.37,1.33,1.25,0.98,1.05,1.06,0.77,1.0,1.06,0.77,0.93
h_0,1.73,2.03,1.79,1.6,1.47,1.3,1.16,1.24,1.03,0.99,1.04,0.97,0.98,1.0,0.88,1.11
e_0,1.8,2.12,1.65,1.64,1.72,1.28,1.3,1.15,1.09,1.09,0.85,1.13,1.13,1.07,1.0,0.94
g_0,1.78,1.76,2.02,1.82,1.61,1.35,1.13,1.15,1.08,1.07,1.33,1.06,1.07,0.91,1.06,1.0
