,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.22,0.9,0.99,0.92,0.68,0.57,0.67,0.7,0.6,0.56,0.59,0.54,0.59,0.58,0.5
e_1,0.82,1.0,0.95,1.09,0.95,0.84,0.69,1.0,0.67,0.61,0.67,0.77,0.63,0.5,0.67,0.69
d_1,1.12,1.04,1.0,0.84,0.99,0.8,0.66,0.62,0.52,0.93,0.63,0.59,0.54,0.65,0.46,0.58
c_1,1.01,0.92,1.2,1.0,1.25,0.78,0.65,0.43,0.72,0.48,0.56,0.65,0.61,0.58,0.5,0.48
b_1,1.09,1.05,1.0,0.8,1.0,1.49,0.8,0.7,0.67,0.71,0.64,0.62,0.55,0.51,0.65,0.52
a_1,1.48,1.18,1.24,1.27,0.68,1.0,1.26,0.8,1.08,0.66,0.98,0.68,0.86,0.69,0.62,0.69
h_1,1.74,1.42,1.51,1.49,1.21,0.9,1.0,0.78,1.13,0.84,0.88,0.77,0.83,0.68,0.93,0.8
d_0,1.45,0.99,1.41,2.27,1.48,1.26,1.26,1.0,0.94,0.86,0.99,0.94,0.84,0.78,0.98,0.97
g_1,1.48,1.48,1.86,1.38,1.44,1.01,0.89,1.02,1.0,1.02,0.94,1.18,0.85,0.95,0.83,0.8
c_0,1.6,1.63,1.11,1.87,1.39,1.49,1.22,1.07,1.0,1.0,1.39,1.05,1.07,0.86,0.95,0.93
b_0,1.68,1.56,1.52,1.93,1.46,1.12,1.13,1.03,1.08,0.75,1.0,0.9,1.01,1.26,0.83,0.83
f_0,1.79,1.21,1.7,1.67,1.63,1.5,1.3,1.04,0.85,0.95,1.13,1.0,1.01,1.03,0.69,1.33
h_0,1.96,1.58,1.79,1.7,1.71,1.25,1.17,1.15,1.18,0.98,1.03,0.96,1.0,0.9,1.15,0.75
a_0,1.58,2.0,1.64,1.76,2.02,1.38,1.53,1.24,1.06,1.06,0.82,1.1,1.03,1.0,1.21,1.01
g_0,1.8,1.48,2.23,1.87,1.61,1.56,1.11,1.07,1.24,1.03,1.18,1.43,0.81,0.87,1.0,0.91
e_0,2.18,1.45,1.6,2.2,1.85,1.57,1.2,1.07,1.28,1.12,1.29,0.75,1.28,1.02,1.01,1.0
