,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.89,0.91,0.78,0.61,0.4,0.42,0.41,0.38,0.38,0.37,0.3,0.27,0.26,0.32
e_1,0.87,1.0,1.11,0.87,0.85,0.73,0.47,0.56,0.44,0.4,0.46,0.37,0.38,0.34,0.32,0.31
c_1,1.12,0.9,1.0,1.09,1.17,0.78,0.47,0.33,0.47,0.37,0.4,0.33,0.38,0.29,0.31,0.35
d_1,1.1,1.14,0.9,1.0,0.89,0.76,0.52,0.47,0.4,0.57,0.45,0.47,0.38,0.33,0.32,0.27
b_1,1.24,1.15,0.89,1.11,1.0,1.19,0.57,0.52,0.53,0.5,0.43,0.43,0.43,0.35,0.36,0.36
a_1,1.54,1.38,1.27,1.3,0.85,1.0,0.67,0.62,0.6,0.56,0.51,0.6,0.5,0.44,0.49,0.43
h_1,2.49,2.14,2.12,1.92,1.73,1.46,1.0,0.83,1.01,0.78,0.78,0.82,0.71,0.58,0.62,0.73
d_0,2.31,1.78,2.95,2.26,1.98,1.58,1.19,1.0,1.04,0.84,0.99,0.96,0.83,0.71,0.74,0.86
g_1,2.49,2.21,2.11,2.55,1.96,1.62,1.0,0.97,1.0,0.89,1.08,0.89,0.75,0.8,0.84,0.7
c_0,2.65,2.51,2.57,1.82,2.11,1.76,1.29,1.15,1.12,1.0,0.94,1.4,0.93,0.84,0.89,0.74
f_0,2.67,2.15,2.57,2.29,2.24,1.94,1.25,1.07,0.93,1.07,1.0,1.01,0.88,1.1,0.82,0.66
b_0,2.78,2.62,3.12,2.14,2.3,1.64,1.27,1.07,1.09,0.75,0.99,1.0,0.92,0.82,1.06,0.83
h_0,3.35,2.7,2.62,2.55,2.33,1.97,1.39,1.19,1.3,1.06,1.08,1.07,1.0,0.83,0.88,0.94
e_0,3.48,3.03,3.32,2.88,2.99,2.24,1.7,1.4,1.27,1.17,0.95,1.22,1.18,1.0,1.06,0.93
a_0,3.7,3.21,3.51,2.85,2.83,2.01,1.63,1.31,1.27,1.07,1.22,0.89,1.17,0.97,1.0,1.04
g_0,3.14,3.17,3.03,3.57,2.7,2.3,1.34,1.21,1.39,1.39,1.46,1.27,1.03,1.08,0.91,1.0
