,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,1.27,0.71,1.27,1.25,1.11,0.35,0.26,0.37,0.27,0.24,0.29,0.18,0.23,0.36,0.21
d_1,1.59,0.42,1.21,1.28,1.09,1.03,0.3,0.44,0.22,0.22,0.23,0.23,0.14,0.21,0.19,0.1
f_1,1.16,1.12,0.42,1.2,1.12,0.98,0.24,0.25,0.42,0.23,0.23,0.37,0.15,0.22,0.24,0.18
c_1,0.94,1.5,1.31,0.4,1.27,1.12,0.37,0.15,0.35,0.41,0.23,0.26,0.16,0.21,0.27,0.19
b_1,1.27,1.4,1.35,0.72,0.38,1.67,0.41,0.3,0.42,0.39,0.48,0.28,0.24,0.26,0.3,0.21
a_1,1.98,1.97,1.75,1.5,0.72,0.32,0.52,0.39,0.5,0.37,0.51,0.36,0.24,0.63,0.36,0.27
h_1,1.99,2.03,2.33,2.03,2.15,1.88,0.31,0.43,0.62,0.45,0.4,0.4,0.43,0.38,0.38,0.29
d_0,1.43,3.13,2.2,2.45,2.58,2.56,0.88,0.34,0.81,0.51,0.46,0.49,0.4,0.44,0.4,0.38
g_1,2.55,2.15,2.55,2.49,2.39,1.98,0.55,0.54,0.27,0.49,0.48,0.42,0.26,0.39,0.45,0.42
c_0,2.45,1.44,2.72,4.22,2.54,2.16,0.79,0.83,0.72,0.31,0.54,0.51,0.38,0.49,0.43,0.29
b_0,2.48,2.02,2.53,3.8,4.1,2.56,0.7,0.54,0.78,0.3,0.31,0.5,0.41,0.51,0.45,0.33
f_0,2.66,2.35,4.36,2.84,2.62,2.53,0.81,0.72,0.42,0.52,0.48,0.29,0.36,0.54,0.54,0.27
h_0,3.07,2.76,2.95,3.25,3.06,2.36,1.28,0.62,0.99,0.55,0.58,0.67,0.55,0.48,0.47,0.41
a_0,2.75,2.98,2.98,3.26,4.87,4.18,0.86,0.61,1.0,0.56,0.34,0.62,0.49,0.31,0.59,0.44
e_0,3.5,2.95,4.84,3.38,3.67,3.03,1.17,0.7,0.82,0.62,0.62,0.32,0.48,0.59,0.28,0.4
g_0,3.31,2.93,3.47,3.32,3.32,3.01,0.81,0.78,1.11,0.8,0.68,0.64,0.34,0.74,0.53,0.63
