,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.8,1.34,1.04,1.75,1.31,0.94,4.68,4.76,5.82,12.32,7.47,7.18,9.69,3.18,9.97,7.48
f_1,2.28,5.86,1.21,1.17,1.02,1.18,4.11,4.49,5.83,5.71,2.36,6.08,9.06,4.79,7.39,5.57
d_1,1.15,1.46,6.37,1.11,1.19,1.36,4.54,4.58,11.99,2.42,5.84,7.32,10.18,6.48,9.31,5.56
c_1,1.09,1.43,1.19,6.74,2.41,1.31,4.69,4.08,1.84,5.85,5.58,4.65,9.74,5.91,9.36,6.03
b_1,1.19,1.23,1.21,1.22,7.99,2.48,5.06,4.85,5.76,5.59,6.77,2.03,8.21,8.04,8.43,6.19
a_1,1.3,1.23,1.62,1.27,1.33,10.12,5.12,4.78,6.44,5.23,5.94,5.15,9.47,5.96,8.73,2.08
h_1,1.28,2.31,1.65,1.63,1.25,1.26,16.2,8.1,7.31,7.98,6.95,7.43,5.91,9.32,12.76,7.1
g_1,1.56,1.42,2.34,1.4,1.14,1.75,5.75,19.58,7.02,6.19,10.92,7.97,8.41,6.83,6.0,8.09
c_0,1.73,1.63,2.04,0.78,1.27,1.64,5.6,6.36,15.11,7.44,8.83,14.27,10.59,9.52,11.93,10.1
d_0,1.64,1.81,0.77,3.29,1.68,1.57,4.8,5.2,5.0,15.11,8.24,6.41,10.92,6.73,11.62,7.78
f_0,1.39,1.04,1.71,2.13,1.76,1.42,6.74,5.37,7.33,8.95,18.16,8.45,10.16,18.34,13.16,8.17
b_0,1.5,1.5,2.17,1.69,0.83,1.14,6.05,6.3,8.12,7.73,8.6,18.89,12.9,9.95,12.8,21.04
h_0,1.53,1.92,1.84,1.73,1.44,1.72,3.48,7.91,6.94,7.62,6.87,7.58,7.2,6.74,15.49,8.0
e_0,0.65,1.92,1.92,2.01,1.56,1.75,6.56,6.64,8.08,6.35,8.9,6.82,12.47,24.58,10.27,7.3
g_0,1.35,1.25,2.79,1.81,1.44,1.48,6.54,3.5,7.51,6.99,12.57,7.18,11.19,11.32,8.75,8.0
a_0,1.3,1.8,2.1,1.63,1.55,0.76,6.45,5.43,5.58,7.89,8.89,7.83,12.55,7.48,12.95,26.49
