,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.06,2.23,2.56,2.01,2.76,1.48,0.94,0.92,0.43,0.77,0.71,0.61,0.55,0.57,0.51,0.47
f_1,2.33,1.06,2.21,2.58,2.02,1.75,0.66,0.97,0.68,0.62,0.88,0.58,0.4,0.44,0.55,0.56
d_1,2.55,2.16,1.06,2.59,2.46,2.1,0.88,0.59,1.14,0.71,0.58,0.67,0.52,0.65,0.51,0.35
e_1,2.54,1.58,2.69,1.06,2.36,2.42,0.95,0.94,0.85,0.73,0.77,0.67,0.6,1.47,0.67,0.6
b_1,1.52,3.1,2.6,2.44,1.07,2.99,1.24,1.02,0.88,0.93,0.72,1.25,0.58,0.61,0.74,0.54
a_1,5.1,4.82,3.79,3.4,1.82,1.07,1.2,1.6,1.17,1.13,0.92,1.24,0.8,1.11,1.4,0.93
h_1,5.8,6.3,5.27,6.5,5.26,5.16,1.34,2.12,2.07,1.77,1.59,1.67,1.76,1.22,1.43,1.51
g_1,6.61,6.76,7.14,6.4,7.42,4.89,2.16,1.33,2.04,1.85,2.38,1.72,1.1,1.82,1.92,1.92
d_0,8.65,7.49,10.0,4.18,7.27,5.54,2.93,2.63,1.54,1.97,2.64,1.85,1.52,2.18,2.02,1.61
c_0,14.33,8.02,4.59,7.4,7.06,6.62,2.87,2.6,2.9,1.53,2.15,2.6,1.83,2.54,2.36,1.64
f_0,8.39,13.26,7.93,7.46,7.68,6.71,3.18,1.98,2.43,2.32,1.56,2.61,1.98,2.92,3.02,1.41
b_0,10.79,8.9,6.7,8.18,13.6,7.18,3.13,3.07,2.63,1.47,2.1,1.57,2.01,2.22,3.07,1.85
h_0,9.81,11.5,10.27,9.48,9.51,8.44,4.82,4.41,3.38,3.12,3.28,2.56,2.95,2.68,2.57,2.27
e_0,11.0,20.07,9.5,13.76,11.61,7.09,4.21,3.2,3.18,2.62,1.81,2.59,2.6,1.56,2.97,2.28
a_0,12.37,10.64,10.54,10.85,10.92,12.44,3.94,3.97,3.27,2.82,2.56,1.78,2.41,2.64,1.66,2.46
g_0,12.17,12.89,11.99,10.32,11.9,8.8,3.51,5.2,3.55,3.04,3.45,2.97,2.02,3.05,2.79,2.98
